id,parents,fitnesses,descriptors,genome
141,[122],{'brightness': 25.784313725490193},"{'distance': 2.4787090787486354, 'avg_speed': 0.23521898598227764}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.42894095182418823), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12535271048545837), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1404772698879242), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9499979019165039), (12, 6, 9, -0.5120298862457275)], 'NID': 0, 'LID': 13, '_id': 141, '_parents': [122]}, 'vision': {'w': 2, 'h': 2}}"
170,[141],{'brightness': 33.30065359477125},"{'distance': 1.9011679376969284, 'avg_speed': 0.1932347210111833}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12535271048545837), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1404772698879242), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9499979019165039), (12, 6, 9, -0.5120298862457275)], 'NID': 0, 'LID': 13, '_id': 170, '_parents': [141]}, 'vision': {'w': 2, 'h': 2}}"
176,[126],{'brightness': 34.37908496732026},"{'distance': 0.5340453703524689, 'avg_speed': 0.1971760653354231}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.4430173635482788), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12535271048545837), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1404772698879242), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (10, 7, 8, -0.5921554565429688), (11, 7, 10, -0.9499979019165039), (12, 6, 9, -0.5120298862457275)], 'NID': 0, 'LID': 13, '_id': 176, '_parents': [126]}, 'vision': {'w': 2, 'h': 2}}"
196,[170],{'brightness': 36.11111111111111},"{'distance': 0.0350252407573947, 'avg_speed': 0.12156993106452724}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12535271048545837), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1404772698879242), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9499979019165039), (12, 6, 9, -0.5120298862457275), (13, 4, 9, 0.17217037081718445)], 'NID': 0, 'LID': 14, '_id': 196, '_parents': [170]}, 'vision': {'w': 2, 'h': 2}}"
232,[208],{'brightness': 23.202614379084967},"{'distance': 4.081218074102161, 'avg_speed': 0.28437635185807547}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.1514371931552887), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1404772698879242), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9499979019165039), (12, 6, 9, -0.5120298862457275), (13, 2, 8, 0.3181150555610657)], 'NID': 0, 'LID': 14, '_id': 232, '_parents': [208]}, 'vision': {'w': 2, 'h': 2}}"
264,[208],{'brightness': 19.248366013071898},"{'distance': 0.629731028765942, 'avg_speed': 0.2682749421325404}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12535271048545837), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.12783248722553253), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9499979019165039), (12, 6, 9, -0.5120298862457275), (13, 2, 8, 0.3181150555610657)], 'NID': 0, 'LID': 14, '_id': 264, '_parents': [208]}, 'vision': {'w': 2, 'h': 2}}"
265,[229],{'brightness': 22.712418300653596},"{'distance': 2.86803555445772, 'avg_speed': 0.27135320127134255}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12535271048545837), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.12594078481197357), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9632518887519836), (12, 6, 9, -0.5120298862457275), (13, 2, 8, 0.3181150555610657)], 'NID': 0, 'LID': 14, '_id': 265, '_parents': [229]}, 'vision': {'w': 2, 'h': 2}}"
270,[208],{'brightness': 34.57516339869281},"{'distance': 2.3172194486825677, 'avg_speed': 0.27013157387871}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (4, 3, 8, 0.12535271048545837), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1404772698879242), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9499979019165039), (12, 6, 9, -0.5120298862457275), (13, 2, 8, 0.3181150555610657)], 'NID': 0, 'LID': 14, '_id': 270, '_parents': [208]}, 'vision': {'w': 2, 'h': 2}}"
283,[232],{'brightness': 30.686274509803923},"{'distance': 1.16941496065491, 'avg_speed': 0.2622706990312272}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.2894183397293091), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.1514371931552887), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1404772698879242), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9499979019165039), (12, 6, 9, -0.5120298862457275), (13, 2, 8, 0.3181150555610657)], 'NID': 0, 'LID': 14, '_id': 283, '_parents': [232]}, 'vision': {'w': 2, 'h': 2}}"
285,[260],{'brightness': 21.633986928104576},"{'distance': 3.555245572314859, 'avg_speed': 0.28981708951144913}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (3, 2, 10, 0.9377269744873047), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1404772698879242), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9499979019165039), (12, 6, 9, -0.5120298862457275), (13, 2, 8, 0.3082945942878723)], 'NID': 0, 'LID': 14, '_id': 285, '_parents': [260]}, 'vision': {'w': 2, 'h': 2}}"
