id,parents,fitnesses,descriptors,genome
2112,[2067],37.679738562091494,"{'distance': 0.2860179191823639, 'white_gazing': 0.13263601595222704}","{'brain': {'nodes': [(11, 'sin')], 'links': [(0, 0, 9, 0.6160343289375305), (1, 0, 10, -0.6217639446258545), (5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9576579928398132), (9, 6, 8, 0.22986111044883728), (10, 7, 8, -0.7990814447402954), (11, 1, 9, 0.42076292634010315), (12, 1, 11, 1.0), (13, 11, 10, 0.17640115320682526)], 'NID': 1, 'LID': 14, '_id': 2112, '_parents': [2067]}, 'vision': {'w': 0, 'h': 0}}"
2701,[2333],37.418300653594756,"{'distance': 0.8888316366829124, 'white_gazing': 0.12948560084724742}","{'brain': {'nodes': [(11, 'bsgm')], 'links': [(0, 0, 9, 0.6160343289375305), (1, 0, 10, -0.6096038222312927), (3, 2, 8, -0.3565559983253479), (5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9576579928398132), (9, 6, 8, 0.23717162013053894), (10, 7, 8, -0.7922211289405823), (11, 1, 11, 1.0), (12, 11, 10, 0.20608331263065338)], 'NID': 1, 'LID': 13, '_id': 2701, '_parents': [2333]}, 'vision': {'w': 0, 'h': 0}}"
3556,[1064],37.27124183006535,"{'distance': 1.1554289039537546, 'white_gazing': 0.1262249828618322}","{'brain': {'nodes': [], 'links': [(0, 0, 9, 0.6160343289375305), (1, 0, 10, -0.6206863522529602), (2, 1, 10, 0.20608331263065338), (3, 2, 8, -0.3565559983253479), (5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9576579928398132), (9, 6, 8, 0.23717162013053894), (10, 7, 8, -0.7922211289405823)], 'NID': 0, 'LID': 11, '_id': 3556, '_parents': [1064]}, 'vision': {'w': 0, 'h': 0}}"
1064,[833],37.222222222222214,"{'distance': 1.4121953062523223, 'white_gazing': 0.1360253912957988}","{'brain': {'nodes': [], 'links': [(0, 0, 9, 0.6160343289375305), (1, 0, 10, -0.6217639446258545), (2, 1, 10, 0.20608331263065338), (3, 2, 8, -0.3565559983253479), (5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9576579928398132), (9, 6, 8, 0.23717162013053894), (10, 7, 8, -0.7922211289405823)], 'NID': 0, 'LID': 11, '_id': 1064, '_parents': [833]}, 'vision': {'w': 0, 'h': 0}}"
1697,[781],36.79738562091502,"{'distance': 1.080769971443672, 'white_gazing': 0.1735315076019633}","{'brain': {'nodes': [], 'links': [(0, 0, 9, 0.6160343289375305), (1, 0, 10, -0.6217639446258545), (2, 1, 10, 0.17550452053546906), (3, 2, 8, -0.37251517176628113), (5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9576579928398132), (9, 6, 8, 0.23902259767055511), (10, 7, 8, -0.7921431660652161)], 'NID': 0, 'LID': 11, '_id': 1697, '_parents': [781]}, 'vision': {'w': 0, 'h': 0}}"
1196,[781],36.797385620915016,"{'distance': 1.9214106906369997, 'white_gazing': 0.12805870553291998}","{'brain': {'nodes': [], 'links': [(0, 0, 9, 0.6160343289375305), (1, 0, 10, -0.6217639446258545), (2, 1, 10, 0.17550452053546906), (3, 2, 8, -0.37251517176628113), (5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9576579928398132), (9, 6, 8, 0.23361283540725708), (10, 7, 8, -0.7909463047981262)], 'NID': 0, 'LID': 11, '_id': 1196, '_parents': [781]}, 'vision': {'w': 0, 'h': 0}}"
781,[764],35.686274509803916,"{'distance': 0.13933816419110628, 'white_gazing': 0.16690963577242615}","{'brain': {'nodes': [], 'links': [(0, 0, 9, 0.6160343289375305), (1, 0, 10, -0.6217639446258545), (2, 1, 10, 0.17550452053546906), (3, 2, 8, -0.37251517176628113), (5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9576579928398132), (9, 6, 8, 0.23902259767055511), (10, 7, 8, -0.7909463047981262)], 'NID': 0, 'LID': 11, '_id': 781, '_parents': [764]}, 'vision': {'w': 0, 'h': 0}}"
2267,[1064],35.24509803921568,"{'distance': 0.8436309561011787, 'white_gazing': 0.17898535271155994}","{'brain': {'nodes': [], 'links': [(0, 0, 9, 0.6160343289375305), (1, 0, 10, -0.617209792137146), (2, 1, 10, 0.20608331263065338), (3, 2, 8, -0.3565559983253479), (5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9576579928398132), (9, 6, 8, 0.23717162013053894), (10, 7, 8, -0.7922211289405823)], 'NID': 0, 'LID': 11, '_id': 2267, '_parents': [1064]}, 'vision': {'w': 0, 'h': 0}}"
1380,[1359],19.94281045751634,"{'distance': 0.665093653619899, 'white_gazing': 0.0824729504284217}","{'brain': {'nodes': [(11, 'sin')], 'links': [(0, 0, 9, 0.6160343289375305), (1, 0, 10, -0.6217639446258545), (5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9576579928398132), (9, 6, 8, 0.23902259767055511), (10, 7, 8, -0.7883448600769043), (11, 1, 9, 0.42076292634010315), (12, 1, 11, 1.0), (13, 11, 10, 0.17640115320682526)], 'NID': 1, 'LID': 14, '_id': 1380, '_parents': [1359]}, 'vision': {'w': 0, 'h': 0}}"
1359,[1146],18.83169934640523,"{'distance': 0.35058478757670697, 'white_gazing': 0.07837864636684312}","{'brain': {'nodes': [], 'links': [(0, 0, 9, 0.6160343289375305), (1, 0, 10, -0.6217639446258545), (2, 1, 10, 0.17640115320682526), (5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9576579928398132), (9, 6, 8, 0.23902259767055511), (10, 7, 8, -0.7883448600769043), (11, 1, 9, 0.42076292634010315)], 'NID': 0, 'LID': 12, '_id': 1359, '_parents': [1146]}, 'vision': {'w': 0, 'h': 0}}"
