id,parents,fitnesses,descriptors,genome
3042,[1452],37.79411764705881,"{'trajectory': -0.6496693975860071, 'white_gazing': 0.13828789047223639}","{'brain': {'nodes': [], 'links': [(0, 0, 9, 0.5553588271141052), (2, 2, 8, 0.22315125167369843), (4, 2, 10, -0.906204879283905), (5, 3, 9, 0.28646406531333923), (7, 6, 9, 0.31448638439178467), (8, 6, 10, -0.53072190284729), (9, 7, 8, -0.2068883776664734), (11, 5, 8, 0.8645830750465393), (12, 0, 8, 0.03806230425834656)], 'NID': 0, 'LID': 13, '_id': 3042, '_parents': [1452]}, 'vision': {'w': 0, 'h': 0}}"
3885,[1452],37.27124183006535,"{'trajectory': 0.5951936178675683, 'white_gazing': 0.154892276941775}","{'brain': {'nodes': [], 'links': [(0, 0, 9, 0.5553588271141052), (2, 2, 8, 0.22315125167369843), (4, 2, 10, -0.906204879283905), (5, 3, 9, 0.28646406531333923), (7, 6, 9, 0.31448638439178467), (8, 6, 10, -0.53072190284729), (9, 7, 8, -0.21005894243717194), (11, 5, 8, 0.8645830750465393), (12, 0, 8, 0.04433176666498184)], 'NID': 0, 'LID': 13, '_id': 3885, '_parents': [1452]}, 'vision': {'w': 0, 'h': 0}}"
3189,[3053],37.17320261437908,"{'trajectory': 0.8655511549487096, 'white_gazing': 0.11209475594451472}","{'brain': {'nodes': [(11, 'bsgm'), (13, 'sin')], 'links': [(1, 0, 10, -0.620101273059845), (5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9576579928398132), (9, 6, 8, 0.26937341690063477), (10, 7, 8, -0.7922211289405823), (11, 1, 11, 1.0), (12, 11, 10, 0.17844657599925995), (16, 2, 13, 1.0), (17, 13, 9, -0.41136670112609863), (18, 0, 9, 0.6160343289375305), (19, 13, 10, -0.28367879986763)], 'NID': 3, 'LID': 20, '_id': 3189, '_parents': [3053]}, 'vision': {'w': 0, 'h': 0}}"
3610,[2941],36.12745098039215,"{'trajectory': -0.44869435047081135, 'white_gazing': 0.18758278150563246}","{'brain': {'nodes': [], 'links': [(0, 0, 9, 0.5553588271141052), (1, 0, 10, 0.7920794486999512), (2, 2, 8, 0.22315125167369843), (3, 2, 9, 0.5013502836227417), (4, 2, 10, -0.9053318500518799), (5, 3, 9, 0.2873266041278839), (7, 6, 9, 0.3155071437358856), (8, 6, 10, -0.5121141076087952), (9, 7, 8, -0.2068883776664734), (11, 5, 8, 0.8586149215698242), (12, 0, 8, 0.04412151500582695)], 'NID': 0, 'LID': 13, '_id': 3610, '_parents': [2941]}, 'vision': {'w': 0, 'h': 0}}"
3811,[3752],35.931372549019606,"{'trajectory': 0.13327799086218275, 'white_gazing': 0.1533814871476213}","{'brain': {'nodes': [(11, 'id')], 'links': [(0, 0, 9, 0.5553588271141052), (1, 0, 10, 0.8024888634681702), (3, 2, 9, 0.5013502836227417), (4, 2, 10, -0.9058994054794312), (5, 3, 9, 0.2873266041278839), (7, 6, 9, 0.3155071437358856), (8, 6, 10, -0.5121141076087952), (9, 7, 8, -0.2068883776664734), (11, 5, 8, 0.8586149215698242), (12, 0, 8, 0.04412151500582695), (13, 2, 11, 1.0), (14, 11, 8, 0.23415018618106842)], 'NID': 1, 'LID': 15, '_id': 3811, '_parents': [3752]}, 'vision': {'w': 0, 'h': 0}}"
2251,[2136],35.89869281045752,"{'trajectory': 0.94064722748111, 'white_gazing': 0.14663752633851707}","{'brain': {'nodes': [(11, 'bsgm'), (13, 'abs')], 'links': [(1, 0, 10, -0.620101273059845), (5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9576579928398132), (9, 6, 8, 0.26937341690063477), (10, 7, 8, -0.7922211289405823), (11, 1, 11, 1.0), (12, 11, 10, 0.17844657599925995), (16, 2, 13, 1.0), (17, 13, 9, -0.41136670112609863), (18, 0, 9, 0.6160343289375305)], 'NID': 3, 'LID': 19, '_id': 2251, '_parents': [2136]}, 'vision': {'w': 4, 'h': 4}}"
3135,[3043],35.83333333333334,"{'trajectory': -0.18560829437653792, 'white_gazing': 0.10085531504564374}","{'brain': {'nodes': [(11, 'bsgm'), (13, 'abs')], 'links': [(5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9576579928398132), (9, 6, 8, 0.26937341690063477), (10, 7, 8, -0.7922211289405823), (11, 1, 11, 1.0), (12, 11, 10, 0.17844657599925995), (16, 2, 13, 1.0), (17, 13, 9, -0.41136670112609863), (19, 0, 8, -0.6555810570716858)], 'NID': 3, 'LID': 20, '_id': 3135, '_parents': [3043]}, 'vision': {'w': 0, 'h': 0}}"
3524,[3398],35.65359477124183,"{'trajectory': -0.050810427065027475, 'white_gazing': 0.34278276659932727}","{'brain': {'nodes': [], 'links': [(0, 0, 9, 0.5553588271141052), (1, 0, 10, 0.7950180172920227), (2, 2, 8, 0.22315125167369843), (3, 2, 9, 0.5013502836227417), (4, 2, 10, -0.9058994054794312), (5, 3, 9, 0.28646406531333923), (7, 6, 9, 0.342591792345047), (8, 6, 10, -0.5153059959411621), (9, 7, 8, -0.20504359900951385), (10, 7, 10, -0.6416805982589722), (11, 5, 8, 0.8573048710823059)], 'NID': 0, 'LID': 12, '_id': 3524, '_parents': [3398]}, 'vision': {'w': 0, 'h': 0}}"
3808,[3042],35.37581699346405,"{'trajectory': -1.8893479306713208, 'white_gazing': 0.11489101132992263}","{'brain': {'nodes': [], 'links': [(0, 0, 9, 0.5553588271141052), (2, 2, 8, 0.21591947972774506), (4, 2, 10, -0.906204879283905), (5, 3, 9, 0.28646406531333923), (7, 6, 9, 0.31448638439178467), (8, 6, 10, -0.53072190284729), (9, 7, 8, -0.2068883776664734), (11, 5, 8, 0.8645830750465393), (12, 0, 8, 0.03806230425834656)], 'NID': 0, 'LID': 13, '_id': 3808, '_parents': [3042]}, 'vision': {'w': 0, 'h': 0}}"
3819,[3524],35.31045751633986,"{'trajectory': -0.055633803934889536, 'white_gazing': 0.32932782819812495}","{'brain': {'nodes': [], 'links': [(0, 0, 9, 0.5553588271141052), (1, 0, 10, 0.7950180172920227), (2, 2, 8, 0.22315125167369843), (3, 2, 9, 0.5013502836227417), (4, 2, 10, -0.9058994054794312), (5, 3, 9, 0.28646406531333923), (7, 6, 9, 0.342591792345047), (8, 6, 10, -0.5218856930732727), (9, 7, 8, -0.20504359900951385), (10, 7, 10, -0.6416805982589722), (11, 5, 8, 0.8573048710823059)], 'NID': 0, 'LID': 12, '_id': 3819, '_parents': [3524]}, 'vision': {'w': 0, 'h': 0}}"
