id,parents,fitnesses,descriptors,genome
89,[79],20.805555555555557,"{'complexity': 32.5, 'max_density_z_coord': 0.04}","{'nodes': [], 'links': [(0, 0, 8, -0.9621158838272095), (2, 1, 10, -0.9054223895072937), (3, 2, 8, -0.29984328150749207), (4, 2, 9, 0.42464327812194824), (5, 2, 10, -0.4220345616340637), (6, 3, 9, -0.38219574093818665), (7, 3, 10, -0.1321585774421692), (8, 4, 8, -0.4611307680606842), (9, 4, 9, 0.43776336312294006), (10, 5, 10, -0.1454416811466217)], 'NID': 0, 'LID': 11, '_id': 89, '_parents': [79]}"
40,[6],20.508169934640524,"{'complexity': 24.5, 'max_density_z_coord': 0.04}","{'nodes': [], 'links': [(0, 0, 8, -0.9621158838272095), (2, 1, 10, -0.8945522904396057), (3, 2, 8, -0.29984328150749207), (4, 2, 9, 0.42464327812194824), (5, 2, 10, -0.4242671728134155), (7, 3, 10, -0.1321585774421692), (8, 4, 8, -0.4611307680606842), (9, 4, 9, 0.43776336312294006), (10, 5, 10, -0.1454416811466217)], 'NID': 0, 'LID': 11, '_id': 40, '_parents': [6]}"
15,[],20.12908496732026,"{'complexity': 24.0, 'max_density_z_coord': 0.06293820383116285}","{'nodes': [], 'links': [(0, 0, 8, 0.3433269262313843), (1, 0, 10, 0.18634559214115143), (2, 1, 9, -0.4631156325340271), (3, 1, 10, -0.7045097947120667), (4, 3, 9, -0.7916410565376282), (7, 4, 10, -0.45278897881507874), (8, 5, 8, 0.9237546920776367), (9, 6, 8, 0.8954129219055176), (10, 7, 10, 0.5268768668174744), (11, 2, 10, -0.5243479013442993), (12, 6, 9, -0.5119948983192444)], 'NID': 0, 'LID': 13, '_id': 15, '_parents': []}"
106,[54],19.698529411764703,"{'complexity': 27.5, 'max_density_z_coord': 0.09024563574775836}","{'nodes': [(11, 'abs')], 'links': [(0, 0, 10, -0.6228938698768616), (1, 1, 10, -0.5163391828536987), (2, 2, 8, 0.5255500078201294), (3, 3, 8, -0.7626690864562988), (4, 3, 10, 0.354776531457901), (5, 4, 9, 0.2195587158203125), (6, 5, 8, 0.15381202101707458), (7, 5, 9, -0.6101261377334595), (8, 6, 8, 0.46513256430625916), (9, 6, 10, 0.35117337107658386), (11, 7, 11, 1.0), (12, 11, 10, -0.9099400043487549)], 'NID': 1, 'LID': 13, '_id': 106, '_parents': [54]}"
68,[23],19.133986928104576,"{'complexity': 27.5, 'max_density_z_coord': 0.08621144386695684}","{'nodes': [(11, 'sin')], 'links': [(0, 0, 10, -0.6228938698768616), (1, 1, 10, -0.5163391828536987), (2, 2, 8, 0.5255500078201294), (3, 3, 8, -0.7611649036407471), (4, 3, 10, 0.354776531457901), (5, 4, 9, 0.2195587158203125), (6, 5, 8, 0.15381202101707458), (7, 5, 9, -0.6101261377334595), (8, 6, 8, 0.46513256430625916), (9, 6, 10, 0.35117337107658386), (11, 7, 11, 1.0), (12, 11, 10, -0.9099400043487549)], 'NID': 1, 'LID': 13, '_id': 68, '_parents': [23]}"
44,[22],18.9109477124183,"{'complexity': 16.5, 'max_density_z_coord': 0.08690880016596801}","{'nodes': [], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.276402086019516), (2, 1, 8, 0.8554793000221252), (3, 1, 9, 0.195266991853714), (4, 1, 10, 0.8982488512992859), (5, 2, 8, 0.4528535008430481), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7282021641731262), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.07993383705615997), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.44687703251838684), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9271273612976074), (15, 7, 8, -0.9312790632247925), (16, 4, 10, 0.8361794948577881), (17, 7, 9, 0.19992730021476746)], 'NID': 0, 'LID': 18, '_id': 44, '_parents': [22]}"
97,[70],18.805555555555554,"{'complexity': 94.25, 'max_density_z_coord': 0.060012268354947634}","{'nodes': [], 'links': [(0, 0, 8, -0.8931740522384644), (1, 0, 9, 0.25755104422569275), (2, 0, 10, -0.5164320468902588), (3, 1, 8, -0.7815799713134766), (5, 1, 10, -0.6577526926994324), (6, 2, 9, 0.7237993478775024), (7, 2, 10, -0.8093507289886475), (8, 3, 8, -0.18114222586154938), (9, 3, 10, 0.10524578392505646), (10, 4, 8, -0.780346691608429), (12, 4, 10, -0.11407863348722458), (13, 5, 8, 0.6795505881309509), (14, 5, 10, -0.8995188474655151), (15, 6, 8, -0.6118291020393372), (16, 6, 10, -0.8048821091651917), (17, 7, 8, -0.11340741813182831), (18, 7, 9, 0.4722696840763092), (19, 7, 10, 0.11909770965576172)], 'NID': 0, 'LID': 20, '_id': 97, '_parents': [70]}"
47,[3],18.767973856209153,"{'complexity': 17.5, 'max_density_z_coord': 0.051186550590677546}","{'nodes': [(11, 'sin')], 'links': [(0, 0, 8, 0.7818278670310974), (1, 0, 9, 0.4704190790653229), (2, 1, 9, -0.23569466173648834), (3, 1, 10, -0.5845789909362793), (4, 2, 8, 0.6848926544189453), (5, 2, 10, 0.26520609855651855), (6, 3, 9, 0.1692022830247879), (7, 4, 8, -0.39840731024742126), (8, 5, 8, -0.2129475176334381), (9, 5, 9, 0.4165336787700653), (10, 6, 8, -0.9066755175590515), (11, 6, 9, -0.9608414769172668), (13, 7, 8, 0.250631183385849), (14, 7, 9, 0.13332056999206543), (15, 6, 11, 1.0), (16, 11, 10, -0.7849743366241455)], 'NID': 1, 'LID': 17, '_id': 47, '_parents': [3]}"
130,[116],18.741830065359476,"{'complexity': 12.0, 'max_density_z_coord': 0.07903556548863926}","{'nodes': [], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.276402086019516), (2, 1, 8, 0.8525729775428772), (3, 1, 9, 0.195266991853714), (4, 1, 10, 0.8982488512992859), (5, 2, 8, 0.4528535008430481), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7282021641731262), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.07993383705615997), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.46596670150756836), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9271273612976074), (15, 7, 8, -0.9312790632247925), (16, 4, 10, 0.8361794948577881)], 'NID': 0, 'LID': 17, '_id': 130, '_parents': [116]}"
55,[7],18.725490196078432,"{'complexity': 4.75, 'max_density_z_coord': 0.04}","{'nodes': [(11, 'bsgm')], 'links': [(0, 0, 8, 0.12535271048545837), (1, 1, 10, 0.9316892027854919), (2, 2, 8, -0.1529272049665451), (3, 2, 9, 0.4359135031700134), (4, 2, 10, -0.6043839454650879), (5, 3, 8, 0.2722729742527008), (6, 4, 8, -0.5995924472808838), (7, 4, 10, -0.9413126111030579), (8, 5, 8, -0.7784891724586487), (10, 7, 9, -0.052837733179330826), (11, 7, 10, -0.38140779733657837), (12, 6, 11, 1.0), (13, 11, 10, 0.6710235476493835), (14, 3, 10, -0.9591658115386963), (15, 11, 8, -0.5531983375549316)], 'NID': 1, 'LID': 16, '_id': 55, '_parents': [7]}"
