id,parents,fitnesses,descriptors,genome
154,[124],21.745098039215687,"{'complexity': 28.0, 'z_peaks_avg': 0.09387000252843707}","{'nodes': [], 'links': [(1, 1, 8, 0.22691106796264648), (2, 2, 8, -0.18453167378902435), (3, 2, 9, -0.5355590581893921), (5, 3, 9, -0.2789102792739868), (6, 4, 9, -0.4911571741104126), (7, 4, 10, 0.41201987862586975), (8, 5, 10, -0.8468490242958069), (9, 6, 8, 0.5905471444129944), (10, 7, 8, -0.9063736200332642), (11, 7, 9, 0.6078546643257141), (12, 7, 10, -0.41560348868370056)], 'NID': 0, 'LID': 13, '_id': 154, '_parents': [124]}"
93,[73],20.99264705882353,"{'complexity': 43.0, 'z_peaks_avg': 0.08964431391152823}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8113203048706055), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8663991689682007), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.6106142997741699), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213), (14, 7, 9, 0.2881845235824585), (15, 7, 8, -0.4648064970970154), (16, 6, 10, 0.03295861929655075)], 'NID': 0, 'LID': 17, '_id': 93, '_parents': [73]}"
6,[],20.508169934640524,"{'complexity': 32.5, 'z_peaks_avg': 0.04}","{'nodes': [], 'links': [(0, 0, 8, -0.9621158838272095), (2, 1, 10, -0.8945522904396057), (3, 2, 8, -0.29984328150749207), (4, 2, 9, 0.42464327812194824), (5, 2, 10, -0.4242671728134155), (6, 3, 9, -0.38219574093818665), (7, 3, 10, -0.1321585774421692), (8, 4, 8, -0.4611307680606842), (9, 4, 9, 0.43776336312294006), (10, 5, 10, -0.1454416811466217)], 'NID': 0, 'LID': 11, '_id': 6, '_parents': []}"
47,[24],19.668300653594773,"{'complexity': 24.0, 'z_peaks_avg': 0.09987578341189363}","{'nodes': [(11, 'id')], 'links': [(0, 0, 8, 0.12535271048545837), (1, 1, 10, 0.9316892027854919), (3, 2, 9, 0.4359135031700134), (4, 2, 10, -0.6043839454650879), (5, 3, 8, 0.2722729742527008), (6, 4, 8, -0.5995924472808838), (7, 4, 10, -0.9413126111030579), (8, 5, 8, -0.7784891724586487), (10, 7, 9, -0.052837733179330826), (11, 7, 10, -0.38140779733657837), (12, 6, 11, 1.0), (13, 11, 10, 0.6710235476493835), (14, 3, 10, -0.9591658115386963), (15, 11, 8, -0.5531983375549316), (16, 7, 11, 0.29188209772109985)], 'NID': 1, 'LID': 17, '_id': 47, '_parents': [24]}"
168,[3],19.354575163398692,"{'complexity': 17.5, 'z_peaks_avg': 0.04}","{'nodes': [(11, 'abs')], 'links': [(0, 0, 8, 0.7818278670310974), (1, 0, 9, 0.4704190790653229), (2, 1, 9, -0.23569466173648834), (3, 1, 10, -0.5845789909362793), (4, 2, 8, 0.6848926544189453), (5, 2, 10, 0.26520609855651855), (6, 3, 9, 0.1692022830247879), (7, 4, 8, -0.39840731024742126), (8, 5, 8, -0.2129475176334381), (9, 5, 9, 0.4165336787700653), (10, 6, 8, -0.9066755175590515), (11, 6, 9, -0.9608414769172668), (13, 7, 8, 0.250631183385849), (14, 7, 9, 0.13332056999206543), (15, 6, 11, 1.0), (16, 11, 10, -0.7889827489852905)], 'NID': 1, 'LID': 17, '_id': 168, '_parents': [3]}"
20,[19],19.268790849673202,"{'complexity': 34.5, 'z_peaks_avg': 0.0892529957922916}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8113203048706055), (3, 1, 9, -0.8663991689682007), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.6115948557853699), (7, 3, 9, -0.7093384861946106), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213)], 'NID': 0, 'LID': 15, '_id': 20, '_parents': [19]}"
194,[177],18.794117647058822,"{'complexity': 36.5, 'z_peaks_avg': 0.0810451996891515}","{'nodes': [(11, 'abs')], 'links': [(0, 0, 9, -0.5997342467308044), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8663991689682007), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.5766705274581909), (7, 3, 9, -0.7093384861946106), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.4690251648426056), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213), (14, 7, 9, 0.2881845235824585), (15, 0, 11, 1.0), (16, 11, 10, -0.8217095732688904)], 'NID': 1, 'LID': 17, '_id': 194, '_parents': [177]}"
110,[104],18.781045751633986,"{'complexity': 24.0, 'z_peaks_avg': 0.09499897515029605}","{'nodes': [(11, 'id')], 'links': [(0, 0, 8, 0.12535271048545837), (1, 1, 10, 0.9324906468391418), (3, 2, 9, 0.4359135031700134), (4, 2, 10, -0.611506462097168), (5, 3, 8, 0.2635737657546997), (6, 4, 8, -0.5995924472808838), (7, 4, 10, -0.9413126111030579), (8, 5, 8, -0.7784891724586487), (10, 7, 9, -0.052837733179330826), (11, 7, 10, -0.38140779733657837), (12, 6, 11, 1.0), (13, 11, 10, 0.6710235476493835), (14, 3, 10, -0.9591658115386963), (15, 11, 8, -0.5531983375549316), (16, 7, 11, 0.29188209772109985)], 'NID': 1, 'LID': 17, '_id': 110, '_parents': [104]}"
24,[7],18.725490196078432,"{'complexity': 5.0, 'z_peaks_avg': 0.04}","{'nodes': [(11, 'id')], 'links': [(0, 0, 8, 0.12535271048545837), (1, 1, 10, 0.9316892027854919), (2, 2, 8, -0.1529272049665451), (3, 2, 9, 0.4359135031700134), (4, 2, 10, -0.6043839454650879), (5, 3, 8, 0.2722729742527008), (6, 4, 8, -0.5995924472808838), (7, 4, 10, -0.9413126111030579), (8, 5, 8, -0.7784891724586487), (10, 7, 9, -0.052837733179330826), (11, 7, 10, -0.38140779733657837), (12, 6, 11, 1.0), (13, 11, 10, 0.6710235476493835), (14, 3, 10, -0.9591658115386963), (15, 11, 8, -0.5531983375549316), (16, 7, 11, 0.29188209772109985)], 'NID': 1, 'LID': 17, '_id': 24, '_parents': [7]}"
36,[7],18.69607843137255,"{'complexity': 10.0, 'z_peaks_avg': 0.04}","{'nodes': [(11, 'id')], 'links': [(0, 0, 8, 0.12535271048545837), (1, 1, 10, 0.9316892027854919), (2, 2, 8, -0.1529272049665451), (3, 2, 9, 0.4359135031700134), (4, 2, 10, -0.6043839454650879), (5, 3, 8, 0.2722729742527008), (6, 4, 8, -0.5995924472808838), (7, 4, 10, -0.9413126111030579), (8, 5, 8, -0.7784891724586487), (10, 7, 9, -0.052837733179330826), (11, 7, 10, -0.38140779733657837), (12, 6, 11, 1.0), (13, 11, 10, 0.6710235476493835), (14, 3, 10, -0.9591658115386963), (15, 11, 8, -0.5531983375549316), (16, 6, 8, -0.036673322319984436)], 'NID': 1, 'LID': 17, '_id': 36, '_parents': [7]}"
