id,parents,fitnesses,descriptors,genome
48,[19],16.83823529411765,"{'edges': 31.666666666666668, 'z_peaks_avg': 0.1058536374231619}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8113203048706055), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8663991689682007), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.6115948557853699), (7, 3, 9, -0.7093384861946106), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213)], 'NID': 0, 'LID': 15, '_id': 48, '_parents': [19]}"
50,[33],17.431781045751634,"{'edges': 55.666666666666664, 'z_peaks_avg': 0.09524963056964371}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8113203048706055), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8663991689682007), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.30382299423217773), (6, 2, 10, -0.6115948557853699), (7, 3, 9, -0.7093384861946106), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213), (14, 7, 9, 0.2881845235824585), (15, 7, 8, -0.9396962523460388)], 'NID': 0, 'LID': 16, '_id': 50, '_parents': [33]}"
74,[19],18.462418300653592,"{'edges': 27.0, 'z_peaks_avg': 0.059818872991933184}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8113203048706055), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8663991689682007), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.6115948557853699), (7, 3, 9, -0.7093384861946106), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213), (15, 1, 10, -0.3508148789405823)], 'NID': 0, 'LID': 16, '_id': 74, '_parents': [19]}"
110,[36],17.4281045751634,"{'edges': 31.333333333333332, 'z_peaks_avg': 0.05880598449906583}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8259491920471191), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8663991689682007), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.6115948557853699), (7, 3, 9, -0.7093384861946106), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213), (14, 7, 9, 0.2881845235824585), (15, 4, 8, -0.036673322319984436)], 'NID': 0, 'LID': 16, '_id': 110, '_parents': [36]}"
115,[73],18.491830065359476,"{'edges': 29.333333333333332, 'z_peaks_avg': 0.07338232054758904}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8113203048706055), (2, 1, 8, 0.28286975622177124), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.5910471677780151), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213), (14, 7, 9, 0.2881845235824585), (15, 4, 8, -0.036673322319984436)], 'NID': 0, 'LID': 16, '_id': 115, '_parents': [73]}"
116,[93],18.616830065359476,"{'edges': 51.0, 'z_peaks_avg': 0.09432486259484642}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8113203048706055), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8500016331672668), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.6115948557853699), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213), (15, 3, 8, 0.45558595657348633), (16, 7, 8, -0.6146044135093689)], 'NID': 0, 'LID': 17, '_id': 116, '_parents': [93]}"
118,[66],19.35171568627451,"{'edges': 28.0, 'z_peaks_avg': 0.05242964567873417}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8074756264686584), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8663991689682007), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.6115948557853699), (7, 3, 9, -0.7093384861946106), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213), (15, 4, 8, 0.08518551290035248), (16, 6, 10, 0.7240201830863953)], 'NID': 0, 'LID': 17, '_id': 118, '_parents': [66]}"
124,[101],20.93300653594771,"{'edges': 10.0, 'z_peaks_avg': 0.054820266246103935}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (2, 1, 8, 0.28286975622177124), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.6115948557853699), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213)], 'NID': 0, 'LID': 15, '_id': 124, '_parents': [101]}"
133,[72],17.55065359477124,"{'edges': 38.333333333333336, 'z_peaks_avg': 0.06811849993745032}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8113203048706055), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8663991689682007), (4, 2, 8, 0.08235719799995422), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.6106142997741699), (7, 3, 9, -0.7093384861946106), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213), (14, 7, 9, 0.2959921658039093), (15, 4, 8, -0.03193924203515053)], 'NID': 0, 'LID': 16, '_id': 133, '_parents': [72]}"
142,[104],18.055555555555557,"{'edges': 8.666666666666666, 'z_peaks_avg': 0.05861569548037826}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8113203048706055), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8663991689682007), (4, 2, 8, 0.08105776458978653), (6, 2, 10, -0.6115948557853699), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9789427518844604)], 'NID': 0, 'LID': 15, '_id': 142, '_parents': [104]}"
