id,parents,fitnesses,descriptors,genome
151,[19],20.93300653594771,"{'edges': 27.0, 'z_peaks_avg': 0.054820266246103935}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8663991689682007), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.6115948557853699), (7, 3, 9, -0.7093384861946106), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213)], 'NID': 0, 'LID': 15, '_id': 151, '_parents': [19]}"
124,[101],20.93300653594771,"{'edges': 10.0, 'z_peaks_avg': 0.054820266246103935}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (2, 1, 8, 0.28286975622177124), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.6115948557853699), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213)], 'NID': 0, 'LID': 15, '_id': 124, '_parents': [101]}"
101,[53],20.93300653594771,"{'edges': 17.666666666666668, 'z_peaks_avg': 0.054820266246103935}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8663991689682007), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.6115948557853699), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213)], 'NID': 0, 'LID': 15, '_id': 101, '_parents': [53]}"
6,[],20.508169934640524,"{'edges': 23.333333333333332, 'z_peaks_avg': 0.04}","{'nodes': [], 'links': [(0, 0, 8, -0.9621158838272095), (2, 1, 10, -0.8945522904396057), (3, 2, 8, -0.29984328150749207), (4, 2, 9, 0.42464327812194824), (5, 2, 10, -0.4242671728134155), (6, 3, 9, -0.38219574093818665), (7, 3, 10, -0.1321585774421692), (8, 4, 8, -0.4611307680606842), (9, 4, 9, 0.43776336312294006), (10, 5, 10, -0.1454416811466217)], 'NID': 0, 'LID': 11, '_id': 6, '_parents': []}"
118,[66],19.35171568627451,"{'edges': 28.0, 'z_peaks_avg': 0.05242964567873417}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8074756264686584), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8663991689682007), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.6115948557853699), (7, 3, 9, -0.7093384861946106), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213), (15, 4, 8, 0.08518551290035248), (16, 6, 10, 0.7240201830863953)], 'NID': 0, 'LID': 17, '_id': 118, '_parents': [66]}"
72,[64],18.97222222222222,"{'edges': 38.333333333333336, 'z_peaks_avg': 0.07036077874268146}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8113203048706055), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8663991689682007), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.6106142997741699), (7, 3, 9, -0.7093384861946106), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213), (14, 7, 9, 0.2959921658039093), (15, 4, 8, -0.03193924203515053)], 'NID': 0, 'LID': 16, '_id': 72, '_parents': [64]}"
123,[7],18.69607843137255,"{'edges': 5.0, 'z_peaks_avg': 0.04}","{'nodes': [(11, 'id'), (12, 'bsgm')], 'links': [(0, 0, 8, 0.12535271048545837), (1, 1, 10, 0.9316892027854919), (2, 2, 8, -0.1529272049665451), (3, 2, 9, 0.4359135031700134), (4, 2, 10, -0.6043839454650879), (6, 4, 8, -0.5995924472808838), (7, 4, 10, -0.9413126111030579), (8, 5, 8, -0.7784891724586487), (10, 7, 9, -0.052837733179330826), (11, 7, 10, -0.38140779733657837), (12, 6, 11, 1.0), (13, 11, 10, 0.6710235476493835), (14, 3, 10, -0.9591658115386963), (15, 11, 8, -0.5531983375549316), (16, 3, 12, 1.0), (17, 12, 8, 0.2722729742527008)], 'NID': 2, 'LID': 18, '_id': 123, '_parents': [7]}"
153,[9],18.676470588235293,"{'edges': 15.0, 'z_peaks_avg': 0.04}","{'nodes': [], 'links': [(0, 0, 8, -0.7955196499824524), (1, 1, 10, -0.310291588306427), (2, 2, 8, -0.06371709704399109), (3, 2, 9, 0.32492727041244507), (4, 3, 8, 0.7750325798988342), (5, 3, 10, 0.6746459603309631), (6, 4, 8, 0.9699837565422058), (7, 4, 10, 1.002266764640808), (8, 5, 8, -0.23719194531440735), (9, 5, 9, -0.14724062383174896), (10, 6, 10, 0.046953968703746796), (11, 7, 8, -0.7173007726669312)], 'NID': 0, 'LID': 12, '_id': 153, '_parents': [9]}"
9,[],18.676470588235293,"{'edges': 16.0, 'z_peaks_avg': 0.04}","{'nodes': [], 'links': [(0, 0, 8, -0.7955196499824524), (1, 1, 10, -0.310291588306427), (2, 2, 8, -0.06371709704399109), (3, 2, 9, 0.32492727041244507), (4, 3, 8, 0.7750325798988342), (5, 3, 10, 0.6746459603309631), (6, 4, 8, 0.9699837565422058), (7, 4, 10, 1.002266764640808), (8, 5, 8, -0.23719194531440735), (9, 5, 9, -0.14133691787719727), (10, 6, 10, 0.046953968703746796), (11, 7, 8, -0.7173007726669312)], 'NID': 0, 'LID': 12, '_id': 9, '_parents': []}"
134,[93],18.667075163398692,"{'edges': 13.666666666666666, 'z_peaks_avg': 0.08447597165953151}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8113203048706055), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8500016331672668), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.6115948557853699), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.44758978486061096), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213), (15, 3, 8, 0.45558595657348633)], 'NID': 0, 'LID': 16, '_id': 134, '_parents': [93]}"
116,[93],18.616830065359476,"{'edges': 51.0, 'z_peaks_avg': 0.09432486259484642}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8113203048706055), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8500016331672668), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.6115948557853699), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213), (15, 3, 8, 0.45558595657348633), (16, 7, 8, -0.6146044135093689)], 'NID': 0, 'LID': 17, '_id': 116, '_parents': [93]}"
115,[73],18.491830065359476,"{'edges': 29.333333333333332, 'z_peaks_avg': 0.07338232054758904}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8113203048706055), (2, 1, 8, 0.28286975622177124), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.5910471677780151), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213), (14, 7, 9, 0.2881845235824585), (15, 4, 8, -0.036673322319984436)], 'NID': 0, 'LID': 16, '_id': 115, '_parents': [73]}"
74,[19],18.462418300653592,"{'edges': 27.0, 'z_peaks_avg': 0.059818872991933184}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8113203048706055), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8663991689682007), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.6115948557853699), (7, 3, 9, -0.7093384861946106), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213), (15, 1, 10, -0.3508148789405823)], 'NID': 0, 'LID': 16, '_id': 74, '_parents': [19]}"
190,[186],18.068627450980394,"{'edges': 13.666666666666666, 'z_peaks_avg': 0.0754975603939337}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8113203048706055), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8500016331672668), (4, 2, 8, 0.0778731182217598), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.6115948557853699), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.4748826324939728), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.44758978486061096), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213), (15, 3, 8, 0.45558595657348633)], 'NID': 0, 'LID': 16, '_id': 190, '_parents': [186]}"
142,[104],18.055555555555557,"{'edges': 8.666666666666666, 'z_peaks_avg': 0.05861569548037826}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8113203048706055), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8663991689682007), (4, 2, 8, 0.08105776458978653), (6, 2, 10, -0.6115948557853699), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9789427518844604)], 'NID': 0, 'LID': 15, '_id': 142, '_parents': [104]}"
33,[2],18.03676470588235,"{'edges': 56.0, 'z_peaks_avg': 0.10113030814347408}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8113203048706055), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8663991689682007), (4, 2, 8, 0.08105776458978653), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.6115948557853699), (7, 3, 9, -0.7093384861946106), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213), (14, 7, 9, 0.2881845235824585), (15, 7, 8, -0.9396962523460388)], 'NID': 0, 'LID': 16, '_id': 33, '_parents': [2]}"
4,[],18.029411764705884,"{'edges': 89.0, 'z_peaks_avg': 0.04}","{'nodes': [], 'links': [(0, 0, 9, 0.4674229323863983), (1, 1, 8, -0.9299451112747192), (2, 1, 9, 0.007796584162861109), (3, 2, 8, 0.2542487382888794), (4, 2, 9, -0.043841343373060226), (5, 3, 8, -0.9049696326255798), (6, 4, 9, 0.050665147602558136), (7, 5, 10, 0.15668253600597382), (8, 6, 8, 0.9730324745178223), (9, 6, 9, -0.5545083284378052), (10, 7, 8, -0.39469531178474426), (11, 7, 9, 0.7632887363433838)], 'NID': 0, 'LID': 12, '_id': 4, '_parents': []}"
133,[72],17.55065359477124,"{'edges': 38.333333333333336, 'z_peaks_avg': 0.06811849993745032}","{'nodes': [], 'links': [(0, 0, 9, -0.5997342467308044), (1, 0, 10, -0.8113203048706055), (2, 1, 8, 0.28286975622177124), (3, 1, 9, -0.8663991689682007), (4, 2, 8, 0.08235719799995422), (5, 2, 9, -0.3126695454120636), (6, 2, 10, -0.6106142997741699), (7, 3, 9, -0.7093384861946106), (8, 3, 10, -0.17455850541591644), (9, 5, 8, -0.47905367612838745), (10, 5, 10, 0.9813513159751892), (11, 6, 8, -0.4571857452392578), (12, 6, 9, -0.39106741547584534), (13, 7, 10, -0.9913008213043213), (14, 7, 9, 0.2959921658039093), (15, 4, 8, -0.03193924203515053)], 'NID': 0, 'LID': 16, '_id': 133, '_parents': [72]}"
86,[67],17.513071895424837,"{'edges': 26.666666666666668, 'z_peaks_avg': 0.08132346715507947}","{'nodes': [(11, 'abs')], 'links': [(0, 0, 8, -0.09014599025249481), (1, 1, 9, 0.6000409126281738), (2, 2, 8, -0.08810823410749435), (3, 2, 9, 0.8835349082946777), (4, 3, 8, -0.38118815422058105), (5, 3, 10, -0.6430784463882446), (7, 5, 8, 0.8967106342315674), (9, 6, 10, -0.9939051270484924), (10, 7, 8, 0.5470014214515686), (11, 7, 10, 0.687560498714447), (12, 6, 11, 0.9675427675247192), (13, 11, 9, 0.29708582162857056), (14, 5, 11, 0.8544774055480957)], 'NID': 1, 'LID': 15, '_id': 86, '_parents': [67]}"
23,[18],17.491830065359476,"{'edges': 21.333333333333332, 'z_peaks_avg': 0.08132039260491039}","{'nodes': [(11, 'abs')], 'links': [(0, 0, 8, -0.09014599025249481), (1, 1, 9, 0.6000409126281738), (2, 2, 8, -0.08810823410749435), (3, 2, 9, 0.8835349082946777), (4, 3, 8, -0.38118815422058105), (5, 3, 10, -0.6430784463882446), (7, 5, 8, 0.9150018095970154), (9, 6, 10, -0.9939051270484924), (10, 7, 8, 0.5470014214515686), (11, 7, 10, 0.682349443435669), (12, 6, 11, 0.9675427675247192), (13, 11, 9, 0.29708582162857056)], 'NID': 1, 'LID': 14, '_id': 23, '_parents': [18]}"
