id,parents,fitnesses,descriptors,genome
6,[],20.508169934640524,"{'complexity': 23.333333333333332, 'max_density_z_coord': 0.04}","{'nodes': [], 'links': [(0, 0, 8, -0.9621158838272095), (2, 1, 10, -0.8945522904396057), (3, 2, 8, -0.29984328150749207), (4, 2, 9, 0.42464327812194824), (5, 2, 10, -0.4242671728134155), (6, 3, 9, -0.38219574093818665), (7, 3, 10, -0.1321585774421692), (8, 4, 8, -0.4611307680606842), (9, 4, 9, 0.43776336312294006), (10, 5, 10, -0.1454416811466217)], 'NID': 0, 'LID': 11, '_id': 6, '_parents': []}"
178,[158],20.236928104575163,"{'complexity': 23.333333333333332, 'max_density_z_coord': 0.08983536975460887}","{'nodes': [(11, 'bsgm')], 'links': [(0, 0, 10, -0.6228938698768616), (1, 1, 10, -0.5163391828536987), (2, 2, 8, 0.5255500078201294), (3, 3, 8, -0.7611649036407471), (4, 3, 10, 0.354776531457901), (5, 4, 9, 0.2195587158203125), (6, 5, 8, 0.15381202101707458), (7, 5, 9, -0.6101261377334595), (8, 6, 8, 0.45815762877464294), (9, 6, 10, 0.35117337107658386), (11, 7, 11, 1.0), (12, 11, 10, -0.9099400043487549)], 'NID': 1, 'LID': 13, '_id': 178, '_parents': [158]}"
49,[15],20.166666666666664,"{'complexity': 32.0, 'max_density_z_coord': 0.06383260107740864}","{'nodes': [], 'links': [(0, 0, 8, 0.3433269262313843), (1, 0, 10, 0.18634559214115143), (2, 1, 9, -0.4631156325340271), (3, 1, 10, -0.7045097947120667), (4, 3, 9, -0.7916410565376282), (7, 4, 10, -0.45278897881507874), (8, 5, 8, 0.9277385473251343), (9, 6, 8, 0.8954129219055176), (10, 7, 10, 0.5268768668174744), (11, 2, 10, -0.5243479013442993), (12, 6, 9, -0.5119948983192444)], 'NID': 0, 'LID': 13, '_id': 49, '_parents': [15]}"
114,[26],20.042483660130717,"{'complexity': 18.666666666666668, 'max_density_z_coord': 0.05984038980890606}","{'nodes': [], 'links': [(0, 0, 8, 0.36864250898361206), (1, 0, 9, -0.8352452516555786), (2, 1, 8, 0.23257189989089966), (3, 1, 9, 0.22156015038490295), (4, 2, 8, -0.12075462937355042), (5, 2, 10, -0.8285791873931885), (6, 3, 9, -0.06633901596069336), (7, 3, 10, -0.29766449332237244), (8, 4, 8, 0.5392962694168091), (10, 5, 8, -0.1831936538219452), (11, 6, 10, -0.6647594571113586)], 'NID': 0, 'LID': 12, '_id': 114, '_parents': [26]}"
164,[114],19.72263071895425,"{'complexity': 18.666666666666668, 'max_density_z_coord': 0.08062779858725756}","{'nodes': [], 'links': [(0, 0, 8, 0.36864250898361206), (1, 0, 9, -0.8352452516555786), (2, 1, 8, 0.23257189989089966), (3, 1, 9, 0.22156015038490295), (4, 2, 8, -0.12075462937355042), (5, 2, 10, -0.8223832249641418), (6, 3, 9, -0.06633901596069336), (7, 3, 10, -0.29766449332237244), (8, 4, 8, 0.5392962694168091), (10, 5, 8, -0.1831936538219452), (11, 6, 10, -0.6647594571113586)], 'NID': 0, 'LID': 12, '_id': 164, '_parents': [114]}"
163,[79],19.524101307189543,"{'complexity': 53.333333333333336, 'max_density_z_coord': 0.09301327929411637}","{'nodes': [], 'links': [(0, 0, 10, -0.8761135935783386), (1, 1, 8, -0.39758989214897156), (2, 1, 9, -0.5204066038131714), (3, 2, 9, 0.7758034467697144), (4, 3, 9, -0.8835614323616028), (5, 4, 8, -0.8908283114433289), (6, 4, 9, 0.391960084438324), (8, 7, 8, -0.08862069249153137), (12, 1, 10, 0.8728336095809937), (13, 7, 10, 0.632755696773529)], 'NID': 1, 'LID': 14, '_id': 163, '_parents': [79]}"
189,[109],19.454248366013072,"{'complexity': 62.666666666666664, 'max_density_z_coord': 0.08972316021423571}","{'nodes': [], 'links': [(0, 0, 8, -0.8931740522384644), (1, 0, 9, 0.25755104422569275), (2, 0, 10, -0.5164320468902588), (3, 1, 8, -0.7815799713134766), (4, 1, 9, -0.617098867893219), (5, 1, 10, -0.6354942321777344), (6, 2, 9, 0.7237993478775024), (7, 2, 10, -0.8044908046722412), (8, 3, 8, -0.18114222586154938), (9, 3, 10, 0.10524578392505646), (10, 4, 8, -0.780346691608429), (12, 4, 10, -0.11407863348722458), (13, 5, 8, 0.6795505881309509), (14, 5, 10, -0.8995188474655151), (15, 6, 8, -0.6118291020393372), (16, 6, 10, -0.8048821091651917), (17, 7, 8, -0.11340741813182831), (18, 7, 9, 0.4722696840763092), (19, 7, 10, 0.11909770965576172), (20, 5, 9, 0.567104697227478)], 'NID': 0, 'LID': 21, '_id': 189, '_parents': [109]}"
132,[109],19.43300653594771,"{'complexity': 62.666666666666664, 'max_density_z_coord': 0.07577345278729068}","{'nodes': [], 'links': [(0, 0, 8, -0.8931740522384644), (1, 0, 9, 0.25755104422569275), (2, 0, 10, -0.5164320468902588), (3, 1, 8, -0.7815799713134766), (4, 1, 9, -0.617098867893219), (5, 1, 10, -0.6508890390396118), (6, 2, 9, 0.7237993478775024), (7, 2, 10, -0.8044908046722412), (8, 3, 8, -0.18114222586154938), (9, 3, 10, 0.10524578392505646), (10, 4, 8, -0.780346691608429), (12, 4, 10, -0.11407863348722458), (13, 5, 8, 0.6795505881309509), (14, 5, 10, -0.8995188474655151), (15, 6, 8, -0.6118291020393372), (16, 6, 10, -0.8048821091651917), (17, 7, 8, -0.11340741813182831), (18, 7, 9, 0.4722696840763092), (19, 7, 10, 0.11909770965576172), (20, 5, 9, 0.567104697227478)], 'NID': 0, 'LID': 21, '_id': 132, '_parents': [109]}"
52,[17],19.272875816993462,"{'complexity': 34.666666666666664, 'max_density_z_coord': 0.0987954219885543}","{'nodes': [(11, 'bsgm')], 'links': [(0, 0, 9, -0.4469068646430969), (1, 1, 8, 0.7770960330963135), (2, 1, 9, 0.015114206820726395), (4, 2, 8, 0.295653760433197), (5, 2, 9, 0.6503171920776367), (7, 3, 8, 0.03996661677956581), (8, 3, 10, 0.3946407735347748), (9, 4, 8, -0.13949579000473022), (10, 4, 9, -0.4120749235153198), (12, 5, 10, 0.6788299679756165), (13, 6, 10, -0.2925219237804413), (14, 7, 8, -0.12164974957704544), (15, 7, 9, 0.5403348207473755), (16, 7, 10, -0.4968208372592926), (17, 4, 11, 1.0), (18, 11, 10, -0.25853201746940613)], 'NID': 1, 'LID': 19, '_id': 52, '_parents': [17]}"
131,[16],19.19281045751634,"{'complexity': 57.333333333333336, 'max_density_z_coord': 0.046894948209771005}","{'nodes': [], 'links': [(0, 0, 8, -0.8931740522384644), (1, 0, 9, 0.25755104422569275), (2, 0, 10, -0.5164320468902588), (3, 1, 8, -0.7815799713134766), (4, 1, 9, -0.617098867893219), (5, 1, 10, -0.6577526926994324), (6, 2, 9, 0.7237993478775024), (7, 2, 10, -0.8044908046722412), (8, 3, 8, -0.18114222586154938), (9, 3, 10, 0.10524578392505646), (10, 4, 8, -0.780346691608429), (12, 4, 10, -0.11407863348722458), (13, 5, 8, 0.6795505881309509), (14, 5, 10, -0.8995188474655151), (15, 6, 8, -0.6118291020393372), (16, 6, 10, -0.8048821091651917), (17, 7, 8, -0.11340741813182831), (18, 7, 9, 0.4722696840763092), (19, 7, 10, 0.11909770965576172), (20, 4, 9, -0.500769317150116)], 'NID': 0, 'LID': 21, '_id': 131, '_parents': [16]}"
