id,parents,fitnesses,descriptors,genome
114376,[71890],81.73570261437908,"{'EdgePerNodeRatio': 2.59375, 'estimated_mean_z': 0.0843217888215709}","{'nodes': [], 'links': [(0, 0, 9, 0.5674004554748535), (1, 0, 10, 0.7964833378791809), (2, 2, 8, 0.22103412449359894), (3, 2, 9, 0.4892275333404541), (4, 2, 10, -0.892304539680481), (5, 3, 9, 0.30208098888397217), (7, 6, 9, 0.33501628041267395), (8, 6, 10, -0.540412425994873), (9, 7, 8, -0.23181097209453583), (11, 4, 9, -0.6662473678588867), (12, 7, 9, 0.24839504063129425), (13, 1, 10, 0.30506443977355957), (14, 0, 8, -0.5128546357154846), (15, 7, 10, 0.35619014501571655)], 'NID': 0, 'LID': 16, '_id': 114376, '_parents': [71890]}"
188006,[85499],80.98039215686275,"{'EdgePerNodeRatio': 2.59375, 'estimated_mean_z': 0.08984971614861086}","{'nodes': [], 'links': [(0, 0, 9, 0.5674004554748535), (1, 0, 10, 0.7964833378791809), (2, 2, 8, 0.21698984503746033), (3, 2, 9, 0.4892275333404541), (4, 2, 10, -0.892304539680481), (5, 3, 9, 0.30208098888397217), (7, 6, 9, 0.33501628041267395), (8, 6, 10, -0.540412425994873), (9, 7, 8, -0.23641544580459595), (11, 4, 9, -0.6662473678588867), (12, 7, 9, 0.24839504063129425), (13, 1, 10, 0.31660035252571106), (14, 0, 8, -0.5066404938697815)], 'NID': 0, 'LID': 15, '_id': 188006, '_parents': [85499]}"
26234,[23125],63.63235294117647,"{'EdgePerNodeRatio': 2.5625, 'estimated_mean_z': 0.08084520685879244}","{'nodes': [], 'links': [(0, 0, 9, 0.5674004554748535), (1, 0, 10, 0.7850059866905212), (2, 2, 8, 0.2159086912870407), (3, 2, 9, 0.48444077372550964), (4, 2, 10, -0.8985829949378967), (5, 3, 9, 0.28646406531333923), (7, 6, 9, 0.33501628041267395), (8, 6, 10, -0.5370029807090759), (9, 7, 8, -0.23277951776981354), (10, 7, 10, -0.6297721266746521), (11, 4, 9, -0.6662473678588867), (12, 7, 9, 0.24839504063129425), (13, 1, 10, 0.30506443977355957), (14, 0, 8, -0.5049662590026855)], 'NID': 0, 'LID': 15, '_id': 26234, '_parents': [23125]}"
110529,[94720],56.33047385620915,"{'EdgePerNodeRatio': 0.75, 'estimated_mean_z': 0.039286469145749764}","{'nodes': [(11, 'step'), (12, 'sin')], 'links': [(0, 0, 9, 0.5513896942138672), (2, 2, 8, 0.20940403640270233), (3, 2, 9, 0.48444077372550964), (8, 6, 10, -0.5547330975532532), (9, 7, 8, -0.2481616884469986), (11, 4, 9, -0.6897255778312683), (13, 11, 9, 0.33501628041267395), (14, 4, 11, -0.9365920424461365), (15, 2, 12, 1.0174305438995361), (16, 12, 10, -0.8918624520301819)], 'NID': 2, 'LID': 17, '_id': 110529, '_parents': [94720]}"
166216,[90325],56.33047385620915,"{'EdgePerNodeRatio': 1.125, 'estimated_mean_z': 0.039286469145749764}","{'nodes': [(11, 'step'), (12, 'sin')], 'links': [(0, 0, 9, 0.5513896942138672), (2, 2, 8, 0.20940403640270233), (3, 2, 9, 0.48444077372550964), (8, 6, 10, -0.5547330975532532), (9, 7, 8, -0.2481616884469986), (11, 4, 9, -0.6897255778312683), (12, 6, 11, 0.9820905923843384), (13, 11, 9, 0.33501628041267395), (14, 4, 11, -0.9330267310142517), (15, 2, 12, 1.0174305438995361), (16, 12, 10, -0.8918624520301819), (17, 5, 11, -0.9328464269638062)], 'NID': 2, 'LID': 18, '_id': 166216, '_parents': [90325]}"
199043,[198926],54.42401960784315,"{'EdgePerNodeRatio': 4.28125, 'estimated_mean_z': 0.04722651912857782}","{'nodes': [(11, 'abs'), (12, 'step'), (13, 'abs')], 'links': [(4, 2, 10, -0.9093101620674133), (5, 3, 9, 0.2899312674999237), (7, 6, 9, 0.33501628041267395), (8, 6, 10, -0.5357856750488281), (9, 7, 8, -0.24692438542842865), (11, 4, 9, -0.6638622283935547), (12, 7, 9, 0.25734367966651917), (13, 5, 9, 0.3658033311367035), (15, 5, 11, 1.0261330604553223), (16, 11, 8, 0.4868156611919403), (17, 0, 12, 1.0), (18, 12, 9, 0.5717726349830627), (19, 7, 11, -0.44041597843170166), (20, 5, 12, -0.6371229887008667), (21, 3, 11, -0.10457734763622284), (22, 0, 13, 1.0), (23, 13, 10, 0.7938299775123596), (24, 12, 8, -0.13043257594108582)], 'NID': 3, 'LID': 25, '_id': 199043, '_parents': [198926]}"
183337,[169627],50.687091503267965,"{'EdgePerNodeRatio': 4.125, 'estimated_mean_z': 0.05166070247073827}","{'nodes': [(11, 'abs'), (12, 'step'), (13, 'abs')], 'links': [(4, 2, 10, -0.9093101620674133), (5, 3, 9, 0.2899312674999237), (7, 6, 9, 0.33501628041267395), (8, 6, 10, -0.5357856750488281), (9, 7, 8, -0.24692438542842865), (11, 4, 9, -0.6746628284454346), (12, 7, 9, 0.24839504063129425), (13, 5, 9, 0.3658033311367035), (15, 5, 11, 1.0261330604553223), (16, 11, 8, 0.4868156611919403), (17, 0, 12, 1.0), (18, 12, 9, 0.5717726349830627), (19, 7, 11, -0.44041597843170166), (20, 5, 12, -0.6371229887008667), (21, 3, 11, -0.12111466377973557), (22, 0, 13, 1.0109480619430542), (23, 13, 10, 0.7938299775123596), (24, 12, 8, -0.13314592838287354)], 'NID': 3, 'LID': 25, '_id': 183337, '_parents': [169627]}"
133572,[98836],49.62050653594771,"{'EdgePerNodeRatio': 0.84375, 'estimated_mean_z': 0.07803601451422294}","{'nodes': [(11, 'id'), (13, 'sin')], 'links': [(0, 0, 9, 0.5637380480766296), (2, 2, 8, 0.20940403640270233), (3, 2, 9, 0.48444077372550964), (8, 6, 10, -0.5344356298446655), (11, 4, 9, -0.6897255778312683), (12, 6, 11, 1.0), (13, 11, 9, 0.33501628041267395), (14, 4, 11, -0.9414734840393066), (17, 2, 10, -0.8916435837745667), (18, 1, 8, 0.6203611493110657), (19, 7, 13, 1.0000253915786743), (20, 13, 8, -0.24148066341876984)], 'NID': 3, 'LID': 21, '_id': 133572, '_parents': [98836]}"
198926,[179893],47.722222222222214,"{'EdgePerNodeRatio': 4.21875, 'estimated_mean_z': 0.04939099924841533}","{'nodes': [(11, 'abs'), (12, 'step'), (13, 'abs')], 'links': [(4, 2, 10, -0.9093101620674133), (5, 3, 9, 0.2899312674999237), (7, 6, 9, 0.33501628041267395), (8, 6, 10, -0.5357856750488281), (9, 7, 8, -0.24692438542842865), (11, 4, 9, -0.6638622283935547), (12, 7, 9, 0.24839504063129425), (13, 5, 9, 0.3658033311367035), (15, 5, 11, 1.0261330604553223), (16, 11, 8, 0.4868156611919403), (17, 0, 12, 1.0), (18, 12, 9, 0.5717726349830627), (19, 7, 11, -0.44041597843170166), (20, 5, 12, -0.6371229887008667), (21, 3, 11, -0.10457734763622284), (22, 0, 13, 1.0), (23, 13, 10, 0.7938299775123596), (24, 12, 8, -0.13043257594108582)], 'NID': 3, 'LID': 25, '_id': 198926, '_parents': [179893]}"
191092,[188461],45.32516339869281,"{'EdgePerNodeRatio': 4.125, 'estimated_mean_z': 0.054938118640250416}","{'nodes': [(11, 'abs'), (12, 'step'), (13, 'bsgm')], 'links': [(4, 2, 10, -0.9093101620674133), (5, 3, 9, 0.2899312674999237), (7, 6, 9, 0.33501628041267395), (8, 6, 10, -0.5356544852256775), (9, 7, 8, -0.24692438542842865), (11, 4, 9, -0.6746628284454346), (12, 7, 9, 0.24839504063129425), (13, 5, 9, 0.3658033311367035), (15, 5, 11, 1.0324963331222534), (16, 11, 8, 0.4868156611919403), (17, 0, 12, 1.0), (18, 12, 9, 0.5717726349830627), (19, 7, 11, -0.4460758566856384), (20, 5, 12, -0.6371229887008667), (21, 3, 11, -0.12111466377973557), (22, 0, 13, 1.0), (23, 13, 10, 0.7938299775123596), (24, 12, 8, -0.13314592838287354)], 'NID': 3, 'LID': 25, '_id': 191092, '_parents': [188461]}"
