id,parents,fitnesses,complexity,z_descriptor,genome
19891,[19390],28.04330065359477,15.5,0.1303079826044274,"{'nodes': [(11, 'sin'), (12, 'sin')], 'links': [(0, 0, 9, 0.818740725517273), (2, 1, 8, 0.8554793000221252), (4, 1, 10, 0.9066410660743713), (5, 2, 8, 0.4528535008430481), (6, 2, 9, -0.5110251307487488), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7282021641731262), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.09347044676542282), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.438215970993042), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9553103446960449), (15, 7, 8, -0.9312790632247925), (16, 4, 10, 0.8361794948577881), (18, 0, 11, 1.0), (19, 11, 10, 0.276402086019516), (20, 5, 12, 1.0), (21, 12, 8, 0.032458364963531494)], 'NID': 2, 'LID': 22, '_id': 19891, '_parents': [19390]}"
48528,[40812],44.63316993464053,15.75,0.08682364436415588,"{'nodes': [(11, 'sin')], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.276402086019516), (2, 1, 8, 0.8554793000221252), (4, 1, 10, 0.8996952176094055), (5, 2, 8, 0.4582051932811737), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7282021641731262), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.09347044676542282), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.45564210414886475), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9553103446960449), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494), (18, 7, 11, 1.0), (19, 11, 8, -0.9312790632247925)], 'NID': 1, 'LID': 20, '_id': 48528, '_parents': [40812]}"
66219,[53183],21.979166666666668,9.0,0.14214580607975713,"{'nodes': [(11, 'abs'), (12, 'sin')], 'links': [(0, 0, 9, 0.818740725517273), (2, 1, 8, 0.8415277004241943), (4, 1, 10, 0.8996952176094055), (5, 2, 8, 0.4528535008430481), (6, 2, 9, -0.5150722861289978), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.07993383705615997), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.4391447901725769), (13, 6, 9, -0.36266249418258667), (14, 6, 10, 0.9244939684867859), (15, 7, 8, -0.9312790632247925), (16, 4, 10, 0.8361794948577881), (17, 3, 11, 1.0), (18, 11, 9, -0.7282021641731262), (19, 2, 12, 1.0), (20, 12, 10, 0.2771439552307129)], 'NID': 2, 'LID': 21, '_id': 66219, '_parents': [53183]}"
66440,[32049],34.48406862745098,15.75,0.12649732618209453,"{'nodes': [], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.276402086019516), (2, 1, 8, 0.8559027910232544), (4, 1, 10, 0.8996952176094055), (5, 2, 8, 0.4564366936683655), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7282021641731262), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.09347044676542282), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.44687703251838684), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9553103446960449), (15, 7, 8, -0.9312790632247925), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494), (18, 4, 8, -0.009204144589602947)], 'NID': 0, 'LID': 19, '_id': 66440, '_parents': [32049]}"
66930,[34788],34.29044117647059,15.75,0.09315390161302356,"{'nodes': [(11, 'sin')], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.276402086019516), (2, 1, 8, 0.883558988571167), (4, 1, 10, 0.8996952176094055), (5, 2, 8, 0.4321977198123932), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7282021641731262), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.09347044676542282), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.44687703251838684), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9553103446960449), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494), (18, 7, 11, 1.0029847621917725), (19, 11, 8, -0.9312790632247925)], 'NID': 1, 'LID': 20, '_id': 66930, '_parents': [34788]}"
69938,[48491],34.42851307189542,15.75,0.06199539109765637,"{'nodes': [], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.276402086019516), (2, 1, 8, 0.8554793000221252), (4, 1, 10, 0.8996952176094055), (5, 2, 8, 0.4528535008430481), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7282021641731262), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.07993383705615997), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.43762895464897156), (13, 6, 9, -0.4043191075325012), (14, 6, 10, 0.9553103446960449), (15, 7, 8, -0.9260748624801636), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494)], 'NID': 0, 'LID': 18, '_id': 69938, '_parents': [48491]}"
74255,[71205],30.62336601307189,8.25,0.11086376495425881,"{'nodes': [(11, 'abs'), (12, 'sin')], 'links': [(0, 0, 9, 0.7897751331329346), (2, 1, 8, 0.8520596027374268), (4, 1, 10, 0.8996952176094055), (5, 2, 8, 0.49072545766830444), (6, 2, 9, -0.5150722861289978), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.07993383705615997), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.4446418881416321), (13, 6, 9, -0.3716098666191101), (14, 6, 10, 0.9314996600151062), (16, 4, 10, 0.8361794948577881), (17, 3, 11, 1.0), (18, 11, 9, -0.7282021641731262), (19, 2, 12, 1.0), (20, 12, 10, 0.2631241977214813), (21, 7, 10, 0.2624273896217346)], 'NID': 2, 'LID': 22, '_id': 74255, '_parents': [71205]}"
90036,[22665],34.944035947712415,21.25,0.08346342295236063,"{'nodes': [], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.26861676573753357), (2, 1, 8, 0.8554793000221252), (4, 1, 10, 0.8996952176094055), (5, 2, 8, 0.4528535008430481), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7282021641731262), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.07993383705615997), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.45169195532798767), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9314996600151062), (15, 7, 8, -0.9312790632247925), (16, 4, 10, 0.8361794948577881), (17, 1, 9, -0.29973411560058594), (18, 0, 8, -0.5015390515327454)], 'NID': 0, 'LID': 19, '_id': 90036, '_parents': [22665]}"
96893,[74785],29.54901960784313,8.5,0.06333888149388917,"{'nodes': [(11, 'abs'), (12, 'sin')], 'links': [(0, 0, 9, 0.818740725517273), (2, 1, 8, 0.8520596027374268), (4, 1, 10, 0.9093684554100037), (5, 2, 8, 0.4774898290634155), (6, 2, 9, -0.5150722861289978), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.07993383705615997), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.4446418881416321), (13, 6, 9, -0.3716098666191101), (14, 6, 10, 0.9314996600151062), (15, 7, 8, -0.9257692694664001), (16, 4, 10, 0.8361794948577881), (17, 3, 11, 1.0), (18, 11, 9, -0.7282021641731262), (19, 2, 12, 1.0), (20, 12, 10, 0.2631241977214813), (21, 7, 10, 0.2611054480075836)], 'NID': 2, 'LID': 22, '_id': 96893, '_parents': [74785]}"
97188,[71469],25.76388888888889,16.0,0.12381186597866792,"{'nodes': [], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.282069593667984), (2, 1, 8, 0.8559027910232544), (4, 1, 10, 0.8996952176094055), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7343183159828186), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.09347044676542282), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.44687703251838684), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9492394924163818), (15, 7, 8, -0.9312790632247925), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494)], 'NID': 0, 'LID': 18, '_id': 97188, '_parents': [71469]}"
118880,[75090],29.44607843137255,16.0,0.06893737810371794,"{'nodes': [(11, 'abs')], 'links': [(0, 0, 9, 0.818740725517273), (2, 1, 8, 0.8554793000221252), (4, 1, 10, 0.8996952176094055), (5, 2, 8, 0.4528535008430481), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7282021641731262), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.07993383705615997), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.4552898108959198), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9553103446960449), (15, 7, 8, -0.9260748624801636), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494), (18, 3, 8, 0.5286842584609985), (19, 0, 11, 1.0), (20, 11, 10, 0.276402086019516)], 'NID': 1, 'LID': 21, '_id': 118880, '_parents': [75090]}"
119300,[43984],29.585375816993466,16.0,0.13743383980732227,"{'nodes': [], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.276402086019516), (2, 1, 8, 0.8554793000221252), (4, 1, 10, 0.8996952176094055), (5, 2, 8, 0.4528535008430481), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7282021641731262), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.07993383705615997), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.46366509795188904), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9647805690765381), (15, 7, 8, -0.9281296730041504), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494)], 'NID': 0, 'LID': 18, '_id': 119300, '_parents': [43984]}"
126539,[53183],21.48080065359477,9.0,0.13496941243103827,"{'nodes': [(11, 'abs'), (12, 'sin')], 'links': [(0, 0, 9, 0.818740725517273), (2, 1, 8, 0.8415277004241943), (4, 1, 10, 0.9080839157104492), (5, 2, 8, 0.4528535008430481), (6, 2, 9, -0.5150722861289978), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.07993383705615997), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.4391447901725769), (13, 6, 9, -0.36266249418258667), (14, 6, 10, 0.9244939684867859), (15, 7, 8, -0.9312790632247925), (16, 4, 10, 0.8361794948577881), (17, 3, 11, 1.0), (18, 11, 9, -0.7282021641731262), (19, 2, 12, 1.0), (20, 12, 10, 0.2631241977214813)], 'NID': 2, 'LID': 21, '_id': 126539, '_parents': [53183]}"
127430,[71469],37.89133986928105,16.0,0.12148291389487367,"{'nodes': [], 'links': [(0, 0, 9, 0.818740725517273), (1, 0, 10, 0.276402086019516), (2, 1, 8, 0.8622692823410034), (4, 1, 10, 0.8996952176094055), (6, 2, 9, -0.5150722861289978), (7, 2, 10, 0.27453556656837463), (8, 3, 9, -0.7343183159828186), (9, 3, 10, -0.7556992769241333), (10, 4, 9, -0.09347044676542282), (11, 5, 10, 0.1875171661376953), (12, 6, 8, 0.44687703251838684), (13, 6, 9, -0.3907579779624939), (14, 6, 10, 0.9492394924163818), (15, 7, 8, -0.9312790632247925), (16, 4, 10, 0.8361794948577881), (17, 5, 8, 0.032458364963531494)], 'NID': 0, 'LID': 18, '_id': 127430, '_parents': [71469]}"
