id,fitnesses,descriptors
68,52.73692810457516,"{'distance': 2.1553693178776117, 'white_gazing': 0.205798813184707}"
62,35.65359477124183,"{'distance': 0.738739163931931, 'white_gazing': 0.1336370109321702}"
69,35.56372549019608,"{'distance': 1.075505533514698, 'white_gazing': 0.16990854815945802}"
74,33.529411764705884,"{'distance': 2.5499808609216434, 'white_gazing': 0.1369767142845932}"
70,30.245098039215684,"{'distance': 1.29295348175762, 'white_gazing': 0.09627750651126889}"
61,23.40686274509804,"{'distance': 0.3673774407883441, 'white_gazing': 0.1274348311404854}"
34,23.153594771241824,"{'distance': 3.8832338339476054, 'white_gazing': 0.1297149397463935}"
45,22.107843137254907,"{'distance': 2.3509338721198194, 'white_gazing': 0.16720952326316166}"
58,21.02941176470588,"{'distance': 1.7668744217138685, 'white_gazing': 0.1201127158155604}"
11,20.326797385620914,"{'distance': 0.20739263104033198, 'white_gazing': 0.15852583773512077}"
