genome,fitnesses,descriptors,eval_time
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.172113289760347},"{'white_gazing': 0.09709161854089969, 'distance': 0.16100534481961054}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.215686274509803},"{'white_gazing': 0.12181496687264635, 'distance': 0.3119550230158002}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.15758896151053},"{'white_gazing': 0.09566151169708746, 'distance': 0.19052320086246244}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [10,11])}",{'brightness': 14.901960784313722},"{'white_gazing': 0.09487489025782543, 'distance': 0.1815414290308923}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [12,12])}",{'brightness': 22.309368191721134},"{'white_gazing': 0.13293304104918602, 'distance': 0.3532127211788265}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [12,12])}",{'brightness': 22.309368191721134},"{'white_gazing': 0.13293304104918602, 'distance': 0.3532127211788265}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [12,12])}",{'brightness': 18.85257806826434},"{'white_gazing': 0.11308587758759218, 'distance': 0.8239482429270086}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.172113289760347},"{'white_gazing': 0.09709161854089969, 'distance': 0.16100534481961054}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [12,12])}",{'brightness': 18.983297022512705},"{'white_gazing': 0.0887363821606697, 'distance': 0.10969861471781002}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.259259259259256},"{'white_gazing': 0.09453013180686516, 'distance': 0.1187146034926837}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.172113289760347},"{'white_gazing': 0.11212973822085064, 'distance': 0.342359087366222}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [12,12])}",{'brightness': 22.309368191721134},"{'white_gazing': 0.13293304104918602, 'distance': 0.3532127211788265}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.172113289760347},"{'white_gazing': 0.09709161854089969, 'distance': 0.16100534481961054}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.215686274509803},"{'white_gazing': 0.09374556765606722, 'distance': 0.2830395211282827}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.172113289760347},"{'white_gazing': 0.09709161854089969, 'distance': 0.16100534481961054}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [10,11])}",{'brightness': 16.38344226579521},"{'white_gazing': 0.11797061867160968, 'distance': 1.4877103802835663}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [11,12])}",{'brightness': 16.659404502541758},"{'white_gazing': 0.14188582949611336, 'distance': 0.06352740810840779}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [11,11])}",{'brightness': 19.172113289760347},"{'white_gazing': 0.09709161854089969, 'distance': 0.16100534481961054}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [10,11])}",{'brightness': 14.901960784313722},"{'white_gazing': 0.11716380172390851, 'distance': 0.11421164839261237}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [13,13])}",{'brightness': 14.901960784313722},"{'white_gazing': 0.07676792245954797, 'distance': 0.20278820977508175}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [12,12])}",{'brightness': 14.901960784313722},"{'white_gazing': 0.1294206571137198, 'distance': 0.40515287217929125}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [12,12])}",{'brightness': 16.20915032679739},"{'white_gazing': 0.13542430064082336, 'distance': 0.5744483349393673}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [10,11])}",{'brightness': 16.38344226579521},"{'white_gazing': 0.11797061867160968, 'distance': 1.4877103802835663}",0
"{VisionData(w=2, h=2), CPPN:8:3([1, 1], [11,13])}",{'brightness': 16.38344226579521},"{'white_gazing': 0.11797061867160968, 'distance': 1.4877103802835663}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [10,11])}",{'brightness': 16.38344226579521},"{'white_gazing': 0.11797061867160968, 'distance': 1.4877103802835663}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [10,11])}",{'brightness': 16.38344226579521},"{'white_gazing': 0.11797061867160968, 'distance': 1.4877103802835663}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [9,11])}",{'brightness': 18.373275236020334},"{'white_gazing': 0.12552746154348415, 'distance': 2.2203289194953713}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [10,11])}",{'brightness': 16.38344226579521},"{'white_gazing': 0.11797061867160968, 'distance': 1.4877103802835663}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [9,11])}",{'brightness': 17.93754538852578},"{'white_gazing': 0.11643381706461944, 'distance': 0.41421791224139626}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [10,11])}",{'brightness': 16.38344226579521},"{'white_gazing': 0.11797061867160968, 'distance': 1.4877103802835663}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [10,11])}",{'brightness': 16.38344226579521},"{'white_gazing': 0.11797061867160968, 'distance': 1.4877103802835663}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [10,11])}",{'brightness': 16.38344226579521},"{'white_gazing': 0.11797061867160968, 'distance': 1.4877103802835663}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [10,11])}",{'brightness': 16.38344226579521},"{'white_gazing': 0.11797061867160968, 'distance': 1.4877103802835663}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [10,11])}",{'brightness': 16.38344226579521},"{'white_gazing': 0.11797061867160968, 'distance': 1.4877103802835663}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [12,12])}",{'brightness': 18.85257806826434},"{'white_gazing': 0.11308587758759218, 'distance': 0.8239482429270086}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [12,12])}",{'brightness': 18.85257806826434},"{'white_gazing': 0.11308587758759218, 'distance': 0.8239482429270086}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [12,12])}",{'brightness': 18.620188816267245},"{'white_gazing': 0.11151558265219144, 'distance': 0.15241303729585662}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [10,11])}",{'brightness': 16.38344226579521},"{'white_gazing': 0.11797061867160968, 'distance': 1.4877103802835663}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [10,11])}",{'brightness': 21.510530137981117},"{'white_gazing': 0.12246215410763195, 'distance': 1.8231697171658876}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [10,11])}",{'brightness': 16.38344226579521},"{'white_gazing': 0.11797061867160968, 'distance': 1.4877103802835663}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [12,12])}",{'brightness': 18.85257806826434},"{'white_gazing': 0.11308587758759218, 'distance': 0.8239482429270086}",0
"{VisionData(w=2, h=2), CPPN:8:3([0, 0], [12,12])}",{'brightness': 17.109658678286127},"{'white_gazing': 0.10268192801205711, 'distance': 0.8368940560283645}",0
