id,parents,fitnesses,descriptors,genome
836,[807],100.0,"{'distance': 3.459776555235478, 'white_gazing': 0.3256029182755913}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.11060544848442078), (2, 2, 8, -0.47756579518318176), (3, 2, 9, -0.7045097947120667), (4, 4, 8, -0.788653552532196), (5, 4, 10, -0.7275295257568359), (6, 5, 8, 0.6070559024810791), (7, 5, 9, -0.45752304792404175), (8, 5, 10, 0.9289243221282959), (9, 6, 10, 0.8867634534835815), (10, 0, 8, -0.16269192099571228)], 'NID': 0, 'LID': 11, '_id': 836, '_parents': [807]}, 'vision': {'w': 4, 'h': 4}}"
5352,[5065],100.0,"{'distance': 3.0653736362176387, 'white_gazing': 0.41617680811657354}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.11060544848442078), (2, 2, 8, -0.4848995804786682), (4, 4, 8, -0.7888653874397278), (5, 4, 10, -0.7275295257568359), (6, 5, 8, 0.6070559024810791), (7, 5, 9, -0.45752304792404175), (8, 5, 10, 0.9289243221282959), (9, 6, 10, 0.8777242302894592), (10, 0, 8, -0.16269192099571228)], 'NID': 0, 'LID': 11, '_id': 5352, '_parents': [5065]}, 'vision': {'w': 0, 'h': 0}}"
1845,[1740],100.0,"{'distance': 3.4604500690273725, 'white_gazing': 0.20554433362453528}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.11060544848442078), (2, 2, 8, -0.4740492105484009), (4, 4, 8, -0.788653552532196), (5, 4, 10, -0.7275295257568359), (6, 5, 8, 0.6070559024810791), (7, 5, 9, -0.45752304792404175), (8, 5, 10, 0.9289243221282959), (9, 6, 10, 0.878698468208313), (10, 0, 8, -0.16269192099571228)], 'NID': 0, 'LID': 11, '_id': 1845, '_parents': [1740]}, 'vision': {'w': 4, 'h': 4}}"
5080,[4990],85.93137254901961,"{'distance': 3.0796087259332667, 'white_gazing': 0.20496776867673744}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.11060544848442078), (2, 2, 8, -0.4880037009716034), (3, 2, 9, -0.7045097947120667), (4, 4, 8, -0.7916410565376282), (5, 4, 10, -0.7275295257568359), (6, 5, 8, 0.6070559024810791), (7, 5, 9, -0.45752304792404175), (8, 5, 10, 0.9289243221282959), (9, 6, 10, 0.8704342246055603), (10, 0, 8, -0.1474946290254593), (11, 1, 8, 0.9008558392524719)], 'NID': 0, 'LID': 12, '_id': 5080, '_parents': [4990]}, 'vision': {'w': 0, 'h': 0}}"
5458,[5352],82.1732026143791,"{'distance': 2.490788781838796, 'white_gazing': 0.35509456972669373}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.11060544848442078), (2, 2, 8, -0.4785332679748535), (4, 4, 8, -0.7888653874397278), (5, 4, 10, -0.7275295257568359), (6, 5, 8, 0.6070559024810791), (7, 5, 9, -0.45752304792404175), (8, 5, 10, 0.9289243221282959), (9, 6, 10, 0.8777242302894592), (10, 0, 8, -0.16269192099571228)], 'NID': 0, 'LID': 11, '_id': 5458, '_parents': [5352]}, 'vision': {'w': 0, 'h': 0}}"
4255,[1845],81.20915032679738,"{'distance': 3.3517149967154625, 'white_gazing': 0.5087160132833151}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.11060544848442078), (2, 2, 8, -0.4740492105484009), (4, 4, 8, -0.788653552532196), (5, 4, 10, -0.7275295257568359), (6, 5, 8, 0.6070559024810791), (7, 5, 9, -0.45752304792404175), (8, 5, 10, 0.9289243221282959), (9, 6, 10, 0.8702356219291687), (10, 0, 8, -0.16269192099571228)], 'NID': 0, 'LID': 11, '_id': 4255, '_parents': [1845]}, 'vision': {'w': 0, 'h': 0}}"
4509,[730],69.73039215686273,"{'distance': 2.7381065714015627, 'white_gazing': 0.14965817132707748}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.11060544848442078), (2, 2, 8, -0.47756579518318176), (3, 2, 9, -0.7045097947120667), (4, 4, 8, -0.7916410565376282), (5, 4, 10, -0.7275295257568359), (6, 5, 8, 0.6070559024810791), (7, 5, 9, -0.45752304792404175), (8, 5, 10, 0.9289243221282959), (9, 6, 10, 0.8825580477714539), (10, 0, 8, -0.1474946290254593)], 'NID': 0, 'LID': 11, '_id': 4509, '_parents': [730]}, 'vision': {'w': 0, 'h': 0}}"
5998,[5819],68.43954248366013,"{'distance': 2.5560355816017406, 'white_gazing': 0.2135562642725908}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.11060544848442078), (2, 2, 8, -0.4848995804786682), (4, 4, 8, -0.7908157110214233), (5, 4, 10, -0.7275295257568359), (6, 5, 8, 0.6070559024810791), (7, 5, 9, -0.45752304792404175), (8, 5, 10, 0.9289243221282959), (9, 6, 10, 0.8777242302894592), (10, 0, 8, -0.15648481249809265)], 'NID': 0, 'LID': 11, '_id': 5998, '_parents': [5819]}, 'vision': {'w': 0, 'h': 0}}"
5122,[5065],64.66503267973856,"{'distance': 2.1453996863197506, 'white_gazing': 0.16277390915018863}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.11060544848442078), (2, 2, 8, -0.4779679775238037), (4, 4, 8, -0.788653552532196), (5, 4, 10, -0.7275295257568359), (6, 5, 8, 0.6070559024810791), (7, 5, 9, -0.45752304792404175), (8, 5, 10, 0.9289243221282959), (9, 6, 10, 0.8777242302894592), (10, 0, 8, -0.16269192099571228)], 'NID': 0, 'LID': 11, '_id': 5122, '_parents': [5065]}, 'vision': {'w': 0, 'h': 0}}"
5819,[5352],57.8186274509804,"{'distance': 2.5240678809075914, 'white_gazing': 0.3229687869110917}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.11060544848442078), (2, 2, 8, -0.4848995804786682), (4, 4, 8, -0.7908157110214233), (5, 4, 10, -0.7275295257568359), (6, 5, 8, 0.6070559024810791), (7, 5, 9, -0.45752304792404175), (8, 5, 10, 0.9289243221282959), (9, 6, 10, 0.8777242302894592), (10, 0, 8, -0.16269192099571228)], 'NID': 0, 'LID': 11, '_id': 5819, '_parents': [5352]}, 'vision': {'w': 0, 'h': 0}}"
