genome,fitnesses,descriptors,eval_time
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.248366013071895},"{'trajectory': -1.8369821614921298, 'white_gazing': 0.12891654267351318}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.248366013071895},"{'trajectory': -1.8369821614921298, 'white_gazing': 0.12891654267351318}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 20.098039215686274},"{'trajectory': -0.3643006631136058, 'white_gazing': 0.09743384353810146}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [16,17])}",{'brightness': 18.823529411764707},"{'trajectory': -0.001058354017407762, 'white_gazing': 0.18704986342821522}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 1], [15,18])}",{'brightness': 12.450980392156863},"{'trajectory': 5.904586741565001e-16, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 12.450980392156863},"{'trajectory': 5.904586741565001e-16, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 12.450980392156863},"{'trajectory': 5.904586741565001e-16, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.248366013071895},"{'trajectory': -1.8369821614921298, 'white_gazing': 0.12891654267351318}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 12.450980392156863},"{'trajectory': 5.904586741565001e-16, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 12.450980392156863},"{'trajectory': 5.904586741565001e-16, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.248366013071895},"{'trajectory': -1.8369821614921298, 'white_gazing': 0.12891654267351318}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 34.248366013071895},"{'trajectory': -1.8369821614921298, 'white_gazing': 0.12891654267351318}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [16,17])}",{'brightness': 12.450980392156863},"{'trajectory': 5.904586741565001e-16, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 12.450980392156863},"{'trajectory': 5.904586741565001e-16, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 1], [15,18])}",{'brightness': 12.450980392156863},"{'trajectory': 5.904586741565001e-16, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [16,17])}",{'brightness': 18.823529411764707},"{'trajectory': -0.001058354017407762, 'white_gazing': 0.18704986342821522}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 38.23529411764706},"{'trajectory': 0.7187315396157546, 'white_gazing': 0.11307841488992831}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 12.450980392156863},"{'trajectory': 5.904586741565001e-16, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.248366013071895},"{'trajectory': -1.8369821614921298, 'white_gazing': 0.12891654267351318}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [8,8])}",{'brightness': 18.92156862745098},"{'trajectory': 0.009452118607000935, 'white_gazing': 0.14376373750779367}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [7,8])}",{'brightness': 12.450980392156863},"{'trajectory': 5.904586741565001e-16, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [8,8])}",{'brightness': 18.92156862745098},"{'trajectory': 0.009452118607000935, 'white_gazing': 0.14376373750779367}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 1], [15,18])}",{'brightness': 12.450980392156863},"{'trajectory': 5.904586741565001e-16, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 33.790849673202615},"{'trajectory': -1.0590994104490365, 'white_gazing': 0.11421468333233044}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 26.307189542483655},"{'trajectory': -0.3039501766704543, 'white_gazing': 0.15204832420599446}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 33.790849673202615},"{'trajectory': -1.0590994104490365, 'white_gazing': 0.11421468333233044}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 38.23529411764706},"{'trajectory': 0.7187315396157546, 'white_gazing': 0.11307841488992831}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 12.450980392156863},"{'trajectory': 0.0003803005758996576, 'white_gazing': 0.124509803921568}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.248366013071895},"{'trajectory': -1.8369821614921298, 'white_gazing': 0.12891654267351318}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.248366013071895},"{'trajectory': -1.8369821614921298, 'white_gazing': 0.12891654267351318}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.248366013071895},"{'trajectory': -1.8369821614921298, 'white_gazing': 0.12891654267351318}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 21.830065359477125},"{'trajectory': -0.3187365360644198, 'white_gazing': 0.11640119707303216}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.248366013071895},"{'trajectory': -1.8369821614921298, 'white_gazing': 0.12891654267351318}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.248366013071895},"{'trajectory': -1.8369821614921298, 'white_gazing': 0.12891654267351318}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,13])}",{'brightness': 34.248366013071895},"{'trajectory': -1.8369821614921298, 'white_gazing': 0.12891654267351318}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 18.823529411764707},"{'trajectory': 0.030055970806989147, 'white_gazing': 0.1670218983075722}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.57516339869281},"{'trajectory': -1.0208768330201996, 'white_gazing': 0.1411931741979222}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [14,14])}",{'brightness': 33.72549019607843},"{'trajectory': -0.3886504353741266, 'white_gazing': 0.10252964919633459}",0
