id,parents,fitnesses,descriptors,genome
2383,[409],87.54901960784314,"{'trajectory': 0.9627978747481383, 'white_gazing': 0.21660461474093679}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.29582479596138), (2, 1, 10, 0.43288400769233704), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12380655854940414), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1529272049665451), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9724329710006714), (12, 4, 8, -0.8868468403816223), (13, 1, 8, -0.0474182665348053)], 'NID': 0, 'LID': 14, '_id': 2383, '_parents': [409]}, 'vision': {'w': 0, 'h': 0}}"
409,[395],81.96078431372548,"{'trajectory': 0.2852697084900906, 'white_gazing': 0.21443131909525914}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.29582479596138), (2, 1, 10, 0.43288400769233704), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12380655854940414), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1529272049665451), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9724329710006714), (12, 4, 8, -0.8868468403816223), (13, 1, 8, -0.04810059443116188)], 'NID': 0, 'LID': 14, '_id': 409, '_parents': [395]}, 'vision': {'w': 0, 'h': 0}}"
537,[408],75.88235294117646,"{'trajectory': 1.1488158445784618, 'white_gazing': 0.1699149960099812}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.43288400769233704), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12380655854940414), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1529272049665451), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9551582932472229), (12, 4, 8, -0.8868468403816223), (13, 1, 8, -0.04810059443116188), (14, 0, 8, -0.0852845087647438)], 'NID': 0, 'LID': 15, '_id': 537, '_parents': [408]}, 'vision': {'w': 0, 'h': 0}}"
1598,[504],68.00653594771242,"{'trajectory': -0.32137781524875697, 'white_gazing': 0.34403289710649554}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.10854368656873703), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1529272049665451), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9655473232269287), (12, 4, 8, -0.8868468403816223), (13, 6, 8, -0.1137905865907669)], 'NID': 0, 'LID': 14, '_id': 1598, '_parents': [504]}, 'vision': {'w': 0, 'h': 0}}"
1724,[537],54.052287581699346,"{'trajectory': 0.5028091882868095, 'white_gazing': 0.2858440821433338}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.43288400769233704), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12380655854940414), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1529272049665451), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9551582932472229), (12, 4, 8, -0.8868468403816223), (13, 1, 8, -0.04810059443116188), (14, 0, 8, -0.08809108287096024)], 'NID': 0, 'LID': 15, '_id': 1724, '_parents': [537]}, 'vision': {'w': 0, 'h': 0}}"
1249,[1092],51.503267973856204,"{'trajectory': -0.44943421678766393, 'white_gazing': 0.1734510971055089}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.43288400769233704), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12380655854940414), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1529272049665451), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9495876431465149), (12, 4, 8, -0.8868468403816223), (13, 1, 8, -0.04810059443116188), (14, 0, 8, -0.09188145399093628)], 'NID': 0, 'LID': 15, '_id': 1249, '_parents': [1092]}, 'vision': {'w': 0, 'h': 0}}"
504,[447],49.47712418300654,"{'trajectory': -1.3336035662019605, 'white_gazing': 0.21825367226195194}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12380655854940414), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1529272049665451), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9655473232269287), (12, 4, 8, -0.8868468403816223), (13, 6, 8, -0.1137905865907669)], 'NID': 0, 'LID': 14, '_id': 504, '_parents': [447]}, 'vision': {'w': 0, 'h': 0}}"
1092,[537],42.64705882352941,"{'trajectory': -0.6595308683551183, 'white_gazing': 0.17492219913511078}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.43288400769233704), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12380655854940414), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1529272049665451), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9495876431465149), (12, 4, 8, -0.8868468403816223), (13, 1, 8, -0.04810059443116188), (14, 0, 8, -0.0852845087647438)], 'NID': 0, 'LID': 15, '_id': 1092, '_parents': [537]}, 'vision': {'w': 0, 'h': 0}}"
2782,[1724],40.65359477124183,"{'trajectory': -1.7357908522865768, 'white_gazing': 0.17636817146226857}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.43288400769233704), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12380655854940414), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1529272049665451), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.945178747177124), (12, 4, 8, -0.8868468403816223), (13, 1, 8, -0.04810059443116188), (14, 0, 8, -0.08809108287096024)], 'NID': 0, 'LID': 15, '_id': 2782, '_parents': [1724]}, 'vision': {'w': 0, 'h': 0}}"
2245,[1751],39.28104575163399,"{'trajectory': 1.731663060671791, 'white_gazing': 0.14896164938511053}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3116292953491211), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12460919469594955), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1529272049665451), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9708918333053589), (12, 4, 8, -0.8868468403816223), (13, 6, 8, -0.11371918767690659)], 'NID': 0, 'LID': 14, '_id': 2245, '_parents': [1751]}, 'vision': {'w': 0, 'h': 0}}"
2516,[2214],38.62745098039216,"{'trajectory': -0.48634068767318983, 'white_gazing': 0.11627961223575499}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3145535886287689), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.13217851519584656), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1529272049665451), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9655473232269287), (12, 4, 8, -0.887197732925415), (13, 6, 8, -0.11371918767690659)], 'NID': 0, 'LID': 14, '_id': 2516, '_parents': [2214]}, 'vision': {'w': 0, 'h': 0}}"
1928,[1330],38.56209150326798,"{'trajectory': 2, 'white_gazing': 0.12488424541399837}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3145535886287689), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.13423128426074982), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1529272049665451), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9655473232269287), (12, 4, 8, -0.8868468403816223), (13, 6, 8, -0.11371918767690659)], 'NID': 0, 'LID': 14, '_id': 1928, '_parents': [1330]}, 'vision': {'w': 0, 'h': 0}}"
2214,[1608],38.496732026143796,"{'trajectory': -1.7511945239574231, 'white_gazing': 0.11992251668681397}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3145535886287689), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.13217851519584656), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1529272049665451), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9655473232269287), (12, 4, 8, -0.8760802745819092), (13, 6, 8, -0.11371918767690659)], 'NID': 0, 'LID': 14, '_id': 2214, '_parents': [1608]}, 'vision': {'w': 0, 'h': 0}}"
2218,[1751],38.496732026143796,"{'trajectory': 1.1438352290781588, 'white_gazing': 0.11253804544237764}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12460919469594955), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1529272049665451), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (10, 7, 8, -0.5967145562171936), (11, 7, 10, -0.9708918333053589), (12, 4, 8, -0.8868468403816223), (13, 6, 8, -0.11371918767690659)], 'NID': 0, 'LID': 14, '_id': 2218, '_parents': [1751]}, 'vision': {'w': 0, 'h': 0}}"
2343,[1658],38.496732026143796,"{'trajectory': 0.8345953099235244, 'white_gazing': 0.12303830211855146}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3145535886287689), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.10436871647834778), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1529272049665451), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (10, 7, 8, -0.6054553985595703), (11, 7, 10, -0.9655473232269287), (12, 4, 8, -0.8805999755859375), (13, 6, 8, -0.11371918767690659)], 'NID': 0, 'LID': 14, '_id': 2343, '_parents': [1658]}, 'vision': {'w': 0, 'h': 0}}"
1330,[1020],38.496732026143796,"{'trajectory': -0.8256009427654388, 'white_gazing': 0.11303234010643219}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3145535886287689), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.11615946888923645), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1529272049665451), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9655473232269287), (12, 4, 8, -0.8868468403816223), (13, 6, 8, -0.11371918767690659)], 'NID': 0, 'LID': 14, '_id': 1330, '_parents': [1020]}, 'vision': {'w': 0, 'h': 0}}"
2443,[2384],38.496732026143796,"{'trajectory': 0.33453646545019017, 'white_gazing': 0.12104490462865283}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3145535886287689), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.13423128426074982), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1529272049665451), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (10, 7, 8, -0.5915707349777222), (11, 7, 10, -0.9655473232269287), (12, 4, 8, -0.8874320983886719), (13, 6, 8, -0.11371918767690659)], 'NID': 0, 'LID': 14, '_id': 2443, '_parents': [2384]}, 'vision': {'w': 0, 'h': 0}}"
1751,[1570],38.43137254901961,"{'trajectory': -1.265853072775054, 'white_gazing': 0.11751444970123204}","{'brain': {'nodes': [], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12460919469594955), (5, 4, 10, 0.9316892027854919), (6, 5, 8, -0.1529272049665451), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9708918333053589), (12, 4, 8, -0.8868468403816223), (13, 6, 8, -0.11371918767690659)], 'NID': 0, 'LID': 14, '_id': 1751, '_parents': [1570]}, 'vision': {'w': 0, 'h': 0}}"
