id,parents,fitnesses,descriptors,genome
1099,[1063],42.68790849673202,"{'trajectory': -0.7503933929435955, 'white_gazing': 0.1680255263801238}","{'brain': {'nodes': [(12, 'gaus')], 'links': [(1, 0, 10, -0.6301015615463257), (2, 1, 10, 0.17844657599925995), (3, 2, 8, -0.35575592517852783), (4, 2, 9, -0.41136670112609863), (5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9712692499160767), (11, 6, 10, -0.6077843308448792), (14, 7, 12, 1.0), (15, 12, 8, -0.8058058619499207), (16, 0, 9, 0.6160343289375305)], 'NID': 2, 'LID': 17, '_id': 1099, '_parents': [1063]}, 'vision': {'w': 0, 'h': 0}}"
1813,[1543],38.169934640522875,"{'trajectory': 0.18612713275800816, 'white_gazing': 0.1554873357770381}","{'brain': {'nodes': [(11, 'sin'), (12, 'gaus')], 'links': [(1, 0, 10, -0.6301015615463257), (2, 1, 10, 0.17844657599925995), (3, 2, 8, -0.35575592517852783), (4, 2, 9, -0.41136670112609863), (5, 2, 10, 0.37803781032562256), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9576579928398132), (9, 6, 8, 0.25312739610671997), (11, 6, 10, -0.6077843308448792), (12, 0, 11, 1.0), (13, 11, 9, 0.6160343289375305), (14, 7, 12, 1.0), (15, 12, 8, -0.7908220887184143)], 'NID': 2, 'LID': 16, '_id': 1813, '_parents': [1543]}, 'vision': {'w': 0, 'h': 0}}"
3501,[1191],38.15359477124184,"{'trajectory': -0.06812897972885325, 'white_gazing': 0.09709578766697616}","{'brain': {'nodes': [(11, 'sin'), (12, 'gaus')], 'links': [(1, 0, 10, -0.6301015615463257), (2, 1, 10, 0.18479478359222412), (3, 2, 8, -0.3614257574081421), (4, 2, 9, -0.41136670112609863), (5, 2, 10, 0.3742368519306183), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9576579928398132), (9, 6, 8, 0.25312739610671997), (11, 6, 10, -0.6077843308448792), (12, 0, 11, 1.0), (13, 11, 9, 0.6160343289375305), (14, 7, 12, 1.0), (15, 12, 8, -0.8153848648071289), (16, 12, 10, 0.1268632709980011)], 'NID': 2, 'LID': 17, '_id': 3501, '_parents': [1191]}, 'vision': {'w': 0, 'h': 0}}"
2510,[1813],38.071895424836605,"{'trajectory': -0.05644196990539576, 'white_gazing': 0.1966454912693793}","{'brain': {'nodes': [(11, 'sin'), (12, 'gaus')], 'links': [(1, 0, 10, -0.6301015615463257), (2, 1, 10, 0.17844657599925995), (3, 2, 8, -0.35575592517852783), (4, 2, 9, -0.41136670112609863), (5, 2, 10, 0.37803781032562256), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9576579928398132), (9, 6, 8, 0.2563544511795044), (11, 6, 10, -0.6077843308448792), (12, 0, 11, 1.0), (13, 11, 9, 0.6160343289375305), (14, 7, 12, 1.0), (15, 12, 8, -0.7908220887184143)], 'NID': 2, 'LID': 16, '_id': 2510, '_parents': [1813]}, 'vision': {'w': 0, 'h': 0}}"
2122,[1635],38.00653594771241,"{'trajectory': 0.4199999898131978, 'white_gazing': 0.15514212394177487}","{'brain': {'nodes': [(11, 'sin'), (12, 'gaus')], 'links': [(1, 0, 10, -0.6301015615463257), (2, 1, 10, 0.19181478023529053), (3, 2, 8, -0.35575592517852783), (4, 2, 9, -0.41136670112609863), (5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9598066806793213), (9, 6, 8, 0.25312739610671997), (11, 6, 10, -0.6077843308448792), (12, 0, 11, 1.0), (13, 11, 9, 0.6160343289375305), (14, 7, 12, 1.0), (15, 12, 8, -0.7922781109809875), (16, 1, 12, 0.5405297875404358)], 'NID': 2, 'LID': 17, '_id': 2122, '_parents': [1635]}, 'vision': {'w': 0, 'h': 0}}"
3113,[1786],37.99019607843137,"{'trajectory': -0.7447791219983714, 'white_gazing': 0.13106672632239788}","{'brain': {'nodes': [(12, 'gaus')], 'links': [(1, 0, 10, -0.6301015615463257), (2, 1, 10, 0.17844657599925995), (3, 2, 8, -0.35575592517852783), (4, 2, 9, -0.41136670112609863), (5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9583479166030884), (11, 6, 10, -0.6077843308448792), (14, 7, 12, 1.012873888015747), (15, 12, 8, -0.7778444886207581), (16, 0, 9, 0.6160343289375305), (17, 7, 9, -0.06617707759141922)], 'NID': 2, 'LID': 18, '_id': 3113, '_parents': [1786]}, 'vision': {'w': 0, 'h': 0}}"
3409,[3113],37.99019607843137,"{'trajectory': 1.3692304442261776, 'white_gazing': 0.1320337227720886}","{'brain': {'nodes': [(12, 'gaus')], 'links': [(1, 0, 10, -0.6301015615463257), (2, 1, 10, 0.17844657599925995), (3, 2, 8, -0.35575592517852783), (4, 2, 9, -0.4218854606151581), (5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9583479166030884), (11, 6, 10, -0.6077843308448792), (14, 7, 12, 1.012873888015747), (15, 12, 8, -0.7778444886207581), (16, 0, 9, 0.6160343289375305), (17, 7, 9, -0.06617707759141922)], 'NID': 2, 'LID': 18, '_id': 3409, '_parents': [3113]}, 'vision': {'w': 0, 'h': 0}}"
3623,[3230],37.82679738562091,"{'trajectory': 0.017041219328801923, 'white_gazing': 0.20359723803767085}","{'brain': {'nodes': [(11, 'sin'), (12, 'gaus')], 'links': [(1, 0, 10, -0.6301015615463257), (2, 1, 10, 0.17604267597198486), (3, 2, 8, -0.35575592517852783), (4, 2, 9, -0.41136670112609863), (5, 2, 10, 0.37803781032562256), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9576579928398132), (9, 6, 8, 0.2563544511795044), (11, 6, 10, -0.6077843308448792), (12, 0, 11, 1.0), (13, 11, 9, 0.6160343289375305), (14, 7, 12, 1.0047894716262817), (15, 12, 8, -0.7908220887184143)], 'NID': 2, 'LID': 16, '_id': 3623, '_parents': [3230]}, 'vision': {'w': 0, 'h': 0}}"
1623,[475],37.728758169934636,"{'trajectory': 0.8457889581163979, 'white_gazing': 0.11193753030626936}","{'brain': {'nodes': [], 'links': [(1, 0, 10, -0.6232171058654785), (2, 1, 10, 0.17844657599925995), (3, 2, 8, -0.36232978105545044), (4, 2, 9, -0.41136670112609863), (5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9576579928398132), (9, 6, 8, 0.25312739610671997), (10, 7, 8, -0.7972144484519958), (11, 6, 10, -0.6268451809883118)], 'NID': 0, 'LID': 12, '_id': 1623, '_parents': [475]}, 'vision': {'w': 0, 'h': 0}}"
2091,[475],37.58169934640522,"{'trajectory': -0.9058890595110468, 'white_gazing': 0.1392037647304325}","{'brain': {'nodes': [], 'links': [(1, 0, 10, -0.6232171058654785), (2, 1, 10, 0.17844657599925995), (3, 2, 8, -0.36232978105545044), (4, 2, 9, -0.41136670112609863), (5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9576579928398132), (9, 6, 8, 0.25312739610671997), (10, 7, 8, -0.79078209400177), (11, 6, 10, -0.6216534972190857)], 'NID': 0, 'LID': 12, '_id': 2091, '_parents': [475]}, 'vision': {'w': 0, 'h': 0}}"
1446,[1063],35.89052287581699,"{'trajectory': -1.7861147781508186, 'white_gazing': 0.12383548121122537}","{'brain': {'nodes': [(12, 'gaus')], 'links': [(1, 0, 10, -0.6301015615463257), (2, 1, 10, 0.17844657599925995), (3, 2, 8, -0.35575592517852783), (4, 2, 9, -0.41136670112609863), (5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9583479166030884), (11, 6, 10, -0.6077843308448792), (14, 7, 12, 1.0), (15, 12, 8, -0.8058058619499207), (16, 0, 9, 0.6160343289375305)], 'NID': 2, 'LID': 17, '_id': 1446, '_parents': [1063]}, 'vision': {'w': 0, 'h': 0}}"
1762,[1446],35.73529411764705,"{'trajectory': -2.3034259139770787, 'white_gazing': 0.1410003037090429}","{'brain': {'nodes': [(12, 'gaus')], 'links': [(1, 0, 10, -0.6301015615463257), (2, 1, 10, 0.17844657599925995), (3, 2, 8, -0.35389581322669983), (4, 2, 9, -0.41136670112609863), (5, 2, 10, 0.37630024552345276), (6, 3, 9, 0.2849405109882355), (7, 3, 10, -0.848085880279541), (8, 5, 8, 0.9583479166030884), (11, 6, 10, -0.6077843308448792), (14, 7, 12, 1.0), (15, 12, 8, -0.8058058619499207), (16, 0, 9, 0.6160343289375305)], 'NID': 2, 'LID': 17, '_id': 1762, '_parents': [1446]}, 'vision': {'w': 0, 'h': 0}}"
