genome,fitnesses,descriptors,eval_time
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 18.48583877995642},"{'white_gazing': 0.10957075474069915, 'avg_speed': 0.2147357364663639}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 18.48583877995642},"{'white_gazing': 0.10957075474069915, 'avg_speed': 0.2147357364663639}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 15.610021786492375},"{'white_gazing': 0.10871433833198059, 'avg_speed': 0.18587637449484146}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 15.610021786492375},"{'white_gazing': 0.10871433833198059, 'avg_speed': 0.18587637449484146}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [13,13])}",{'brightness': 34.66230936819172},"{'white_gazing': 0.12996416015351092, 'avg_speed': 0.13710389782839638}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 15.610021786492375},"{'white_gazing': 0.10871433833198059, 'avg_speed': 0.18587637449484146}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 16.361655773420477},"{'white_gazing': 0.08313973750904463, 'avg_speed': 0.05}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 16.13289760348584},"{'white_gazing': 0.08375700616187177, 'avg_speed': 0.05}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 15.610021786492375},"{'white_gazing': 0.10871433833198059, 'avg_speed': 0.18587637449484146}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 21.56862745098039},"{'white_gazing': 0.11621259976014806, 'avg_speed': 0.19800740021549396}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 15.610021786492375},"{'white_gazing': 0.10871433833198059, 'avg_speed': 0.18587637449484146}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 14.901960784313722},"{'white_gazing': 0.10897361487800274, 'avg_speed': 0.20511916726130805}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 18.48583877995642},"{'white_gazing': 0.10957075474069915, 'avg_speed': 0.2147357364663639}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [12,12])}",{'brightness': 27.90849673202614},"{'white_gazing': 0.12500255023106413, 'avg_speed': 0.2456797588542923}",0
"{VisionData(w=0, h=0), CPPN:8:3([2, 2], [14,16])}",{'brightness': 18.48583877995642},"{'white_gazing': 0.10957075474069915, 'avg_speed': 0.2147357364663639}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [12,13])}",{'brightness': 14.40087145969499},"{'white_gazing': 0.10263929886804211, 'avg_speed': 0.05}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 20.490196078431374},"{'white_gazing': 0.10320245856094479, 'avg_speed': 0.20454522373089892}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 16.361655773420477},"{'white_gazing': 0.08313973750904463, 'avg_speed': 0.05}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [10,11])}",{'brightness': 14.40087145969499},"{'white_gazing': 0.10263929886804211, 'avg_speed': 0.05}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 16.361655773420477},"{'white_gazing': 0.08313973750904463, 'avg_speed': 0.05}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 18.48583877995642},"{'white_gazing': 0.10957075474069915, 'avg_speed': 0.2147357364663639}",0
"{VisionData(w=0, h=0), CPPN:8:3([0, 0], [11,11])}",{'brightness': 16.361655773420477},"{'white_gazing': 0.08313973750904463, 'avg_speed': 0.05}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [13,14])}",{'brightness': 17.037037037037035},"{'white_gazing': 0.1079995796931761, 'avg_speed': 0.16906468740508201}",0
"{VisionData(w=0, h=0), CPPN:8:3([1, 1], [12,14])}",{'brightness': 18.562091503267975},"{'white_gazing': 0.12417319332481537, 'avg_speed': 0.05}",0
