id,parents,fitnesses,descriptors,genome
270,[223],100.0,"{'white_gazing': 0.35569826854054487, 'distance': 3.3771956332996127}","{'brain': {'nodes': [], 'links': [(0, 0, 8, 0.33501628041267395), (1, 0, 9, -0.5344356298446655), (2, 0, 10, -0.20136526226997375), (3, 1, 9, -0.6458973288536072), (4, 1, 10, -0.9887059330940247), (7, 3, 10, -0.33319783210754395), (8, 6, 9, 0.7911162376403809), (9, 7, 9, -0.9024195075035095), (10, 7, 10, -0.9205277562141418)], 'NID': 0, 'LID': 11, '_id': 270, '_parents': [223]}, 'vision': {'w': 2, 'h': 2}}"
2545,[609],100.0,"{'white_gazing': 0.23517749722130318, 'distance': 3.6774925771303963}","{'brain': {'nodes': [], 'links': [(0, 0, 8, 0.34435904026031494), (1, 0, 9, -0.5344356298446655), (2, 0, 10, -0.18853886425495148), (3, 1, 9, -0.6458973288536072), (4, 1, 10, -1.0046625137329102), (7, 3, 10, -0.33319783210754395), (8, 6, 9, 0.7911162376403809), (9, 7, 9, -0.9024195075035095), (10, 7, 10, -0.9350234866142273)], 'NID': 0, 'LID': 12, '_id': 2545, '_parents': [609]}, 'vision': {'w': 2, 'h': 2}}"
5642,[4418],100.0,"{'white_gazing': 0.3884578607627636, 'distance': 4.249518726028545}","{'brain': {'nodes': [], 'links': [(0, 0, 8, 0.34653791785240173), (1, 0, 9, -0.5344356298446655), (2, 0, 10, -0.18060219287872314), (3, 1, 9, -0.6458973288536072), (4, 1, 10, -1.0076287984848022), (7, 3, 10, -0.33319783210754395), (8, 6, 9, 0.7911162376403809), (9, 7, 9, -0.9024195075035095), (10, 7, 10, -0.9350234866142273)], 'NID': 0, 'LID': 12, '_id': 5642, '_parents': [4418]}, 'vision': {'w': 2, 'h': 2}}"
5404,[3258],100.0,"{'white_gazing': 0.24210770754940852, 'distance': 3.4012339508205764}","{'brain': {'nodes': [], 'links': [(0, 0, 8, 0.33405351638793945), (1, 0, 9, -0.5344356298446655), (2, 0, 10, -0.18491561710834503), (3, 1, 9, -0.6458973288536072), (4, 1, 10, -1.0027512311935425), (7, 3, 10, -0.33319783210754395), (8, 6, 9, 0.7911162376403809), (9, 7, 9, -0.9024195075035095), (10, 7, 10, -0.920242965221405), (11, 3, 9, -0.9165526628494263)], 'NID': 0, 'LID': 12, '_id': 5404, '_parents': [3258]}, 'vision': {'w': 2, 'h': 2}}"
5082,[3878],100.0,"{'white_gazing': 0.2660302981104644, 'distance': 4.898178812792139}","{'brain': {'nodes': [], 'links': [(0, 0, 8, 0.33131474256515503), (1, 0, 9, -0.5344356298446655), (2, 0, 10, -0.20603469014167786), (3, 1, 9, -0.6458973288536072), (4, 1, 10, -1.0027512311935425), (7, 3, 10, -0.33319783210754395), (8, 6, 9, 0.7911162376403809), (9, 7, 9, -0.9024195075035095), (10, 7, 10, -0.9189675450325012), (11, 3, 9, -0.9165526628494263)], 'NID': 0, 'LID': 12, '_id': 5082, '_parents': [3878]}, 'vision': {'w': 2, 'h': 2}}"
4418,[3416],100.0,"{'white_gazing': 0.39876321650313434, 'distance': 2.2974792471600782}","{'brain': {'nodes': [], 'links': [(0, 0, 8, 0.34653791785240173), (1, 0, 9, -0.5344356298446655), (2, 0, 10, -0.18060219287872314), (3, 1, 9, -0.6458973288536072), (4, 1, 10, -1.0022701025009155), (7, 3, 10, -0.33319783210754395), (8, 6, 9, 0.7911162376403809), (9, 7, 9, -0.9024195075035095), (10, 7, 10, -0.9350234866142273)], 'NID': 0, 'LID': 12, '_id': 4418, '_parents': [3416]}, 'vision': {'w': 2, 'h': 2}}"
320,[286],100.0,"{'white_gazing': 0.447091229646891, 'distance': 3.157890285431838}","{'brain': {'nodes': [], 'links': [(0, 0, 8, 0.33410772681236267), (1, 0, 9, -0.5344356298446655), (2, 0, 10, -0.20603469014167786), (3, 1, 9, -0.6458973288536072), (4, 1, 10, -1.0027512311935425), (7, 3, 10, -0.33319783210754395), (8, 6, 9, 0.7911162376403809), (9, 7, 9, -0.9024195075035095), (10, 7, 10, -0.9233388900756836)], 'NID': 0, 'LID': 11, '_id': 320, '_parents': [286]}, 'vision': {'w': 2, 'h': 2}}"
3258,[3233],100.0,"{'white_gazing': 0.27547080031875504, 'distance': 4.168555995375936}","{'brain': {'nodes': [], 'links': [(0, 0, 8, 0.33681896328926086), (1, 0, 9, -0.5344356298446655), (2, 0, 10, -0.18491561710834503), (3, 1, 9, -0.6458973288536072), (4, 1, 10, -1.0027512311935425), (7, 3, 10, -0.33319783210754395), (8, 6, 9, 0.7911162376403809), (9, 7, 9, -0.9024195075035095), (10, 7, 10, -0.920242965221405), (11, 3, 9, -0.9165526628494263)], 'NID': 0, 'LID': 12, '_id': 3258, '_parents': [3233]}, 'vision': {'w': 2, 'h': 2}}"
2965,[320],100.0,"{'white_gazing': 0.6473799576060877, 'distance': 3.393696767005842}","{'brain': {'nodes': [], 'links': [(0, 0, 8, 0.33410772681236267), (1, 0, 9, -0.5344356298446655), (2, 0, 10, -0.20603469014167786), (3, 1, 9, -0.6458973288536072), (4, 1, 10, -1.0027512311935425), (7, 3, 10, -0.33319783210754395), (8, 6, 9, 0.7911162376403809), (9, 7, 9, -0.9024195075035095), (10, 7, 10, -0.9233543872833252)], 'NID': 0, 'LID': 11, '_id': 2965, '_parents': [320]}, 'vision': {'w': 2, 'h': 2}}"
3714,[2854],100.0,"{'white_gazing': 0.25260267189813634, 'distance': 1.8613108745111424}","{'brain': {'nodes': [], 'links': [(0, 0, 8, 0.34073981642723083), (1, 0, 9, -0.5344356298446655), (2, 0, 10, -0.18060219287872314), (3, 1, 9, -0.6458973288536072), (4, 1, 10, -1.0027512311935425), (7, 3, 10, -0.33319783210754395), (8, 6, 9, 0.7911162376403809), (9, 7, 9, -0.9024195075035095), (10, 7, 10, -0.9350234866142273)], 'NID': 0, 'LID': 12, '_id': 3714, '_parents': [2854]}, 'vision': {'w': 2, 'h': 2}}"
