id,parents,fitnesses,descriptors,genome
746,[658],100.0,"{'white_gazing': 0.24341730205877402, 'distance': 3.737634273680766}","{'brain': {'nodes': [(11, 'gaus'), (12, 'bsgm')], 'links': [(0, 0, 9, -0.8184727430343628), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (5, 4, 10, 0.9316892027854919), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5930780172348022), (11, 7, 10, -0.9499979019165039), (12, 5, 11, 1.0), (13, 11, 8, -0.1529272049665451), (14, 2, 9, 0.6350171566009521), (15, 3, 12, 1.0), (16, 12, 8, 0.13110128045082092)], 'NID': 2, 'LID': 17, '_id': 746, '_parents': [658]}, 'vision': {'w': 0, 'h': 0}}"
148,[77],70.54466230936819,"{'white_gazing': 0.356082745196405, 'distance': 2.9503266613763377}","{'brain': {'nodes': [(11, 'gaus')], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12535271048545837), (5, 4, 10, 0.9316892027854919), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5930780172348022), (11, 7, 10, -0.9499979019165039), (12, 5, 11, 1.0), (13, 11, 8, -0.1529272049665451), (14, 2, 9, 0.6350171566009521)], 'NID': 1, 'LID': 15, '_id': 148, '_parents': [77]}, 'vision': {'w': 0, 'h': 0}}"
660,[658],58.7363834422658,"{'white_gazing': 0.18225549793566673, 'distance': 3.1361118970359203}","{'brain': {'nodes': [(11, 'gaus'), (12, 'bsgm')], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (5, 4, 10, 0.9316892027854919), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5930780172348022), (11, 7, 10, -0.9499979019165039), (12, 5, 11, 1.0), (13, 11, 8, -0.1762240082025528), (14, 2, 9, 0.6350171566009521), (15, 3, 12, 1.0), (16, 12, 8, 0.13110128045082092)], 'NID': 2, 'LID': 17, '_id': 660, '_parents': [658]}, 'vision': {'w': 0, 'h': 0}}"
779,[658],40.04357298474945,"{'white_gazing': 0.14956461990087191, 'distance': 1.6105471230983615}","{'brain': {'nodes': [(11, 'gaus'), (12, 'bsgm')], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.30084624886512756), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (5, 4, 10, 0.9316892027854919), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5930780172348022), (11, 7, 10, -0.9499979019165039), (12, 5, 11, 1.0), (13, 11, 8, -0.1529272049665451), (14, 2, 9, 0.6350171566009521), (15, 3, 12, 1.0), (16, 12, 8, 0.13110128045082092)], 'NID': 2, 'LID': 17, '_id': 779, '_parents': [658]}, 'vision': {'w': 0, 'h': 0}}"
427,[148],38.21350762527233,"{'white_gazing': 0.144664598493209, 'distance': 2.0785195797977005}","{'brain': {'nodes': [(11, 'gaus'), (12, 'gaus')], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (5, 4, 10, 0.9316892027854919), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5930780172348022), (11, 7, 10, -0.9499979019165039), (12, 5, 11, 1.0), (13, 11, 8, -0.1529272049665451), (14, 2, 9, 0.6350171566009521), (15, 3, 12, 1.0), (16, 12, 8, 0.12535271048545837)], 'NID': 2, 'LID': 17, '_id': 427, '_parents': [148]}, 'vision': {'w': 0, 'h': 0}}"
603,[539],38.1844589687727,"{'white_gazing': 0.1696713385136423, 'distance': 1.0916380693524559}","{'brain': {'nodes': [(11, 'sin')], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12906421720981598), (5, 4, 10, 0.9316892027854919), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.951667308807373), (12, 5, 11, 1.0), (13, 11, 8, -0.1516469419002533), (14, 2, 9, 0.6350171566009521), (15, 3, 11, -0.8838213682174683)], 'NID': 1, 'LID': 16, '_id': 603, '_parents': [539]}, 'vision': {'w': 0, 'h': 0}}"
448,[316],37.92302106027596,"{'white_gazing': 0.14821355446650444, 'distance': 0.37058625401329254}","{'brain': {'nodes': [(11, 'sin')], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12906421720981598), (5, 4, 10, 0.9316892027854919), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.9499979019165039), (12, 5, 11, 1.0), (13, 11, 8, -0.1529272049665451), (14, 2, 9, 0.6350171566009521), (15, 3, 11, -0.8747477531433105)], 'NID': 1, 'LID': 16, '_id': 448, '_parents': [316]}, 'vision': {'w': 0, 'h': 0}}"
539,[316],37.7196804647785,"{'white_gazing': 0.1077884119040166, 'distance': 0.13905270510802487}","{'brain': {'nodes': [(11, 'sin')], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (4, 3, 8, 0.12906421720981598), (5, 4, 10, 0.9316892027854919), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5898024439811707), (11, 7, 10, -0.951667308807373), (12, 5, 11, 1.0), (13, 11, 8, -0.1529272049665451), (14, 2, 9, 0.6350171566009521), (15, 3, 11, -0.8838213682174683)], 'NID': 1, 'LID': 16, '_id': 539, '_parents': [316]}, 'vision': {'w': 0, 'h': 0}}"
735,[581],36.67392883079158,"{'white_gazing': 0.11640584337851077, 'distance': 0.872691606129817}","{'brain': {'nodes': [(11, 'sin')], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.4460524618625641), (3, 2, 10, 0.9377269744873047), (5, 4, 10, 0.9316892027854919), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5930780172348022), (11, 7, 10, -0.9499979019165039), (12, 5, 11, 1.0), (13, 11, 8, -0.1529272049665451), (14, 2, 9, 0.6350171566009521), (17, 3, 8, 0.14104226231575012)], 'NID': 2, 'LID': 18, '_id': 735, '_parents': [581]}, 'vision': {'w': 0, 'h': 0}}"
526,[463],33.827160493827165,"{'white_gazing': 0.12038689317528875, 'distance': 1.404281993978301}","{'brain': {'nodes': [(11, 'gaus'), (12, 'bsgm')], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (5, 4, 10, 0.9316892027854919), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5930780172348022), (11, 7, 10, -0.9499979019165039), (12, 5, 11, 1.0), (13, 11, 8, -0.1529272049665451), (14, 2, 9, 0.6350171566009521), (15, 3, 12, 1.0), (16, 12, 8, 0.14104226231575012)], 'NID': 2, 'LID': 17, '_id': 526, '_parents': [463]}, 'vision': {'w': 0, 'h': 0}}"
616,[581],25.577342047930284,"{'white_gazing': 0.12049695807072872, 'distance': 2.2045293964608175}","{'brain': {'nodes': [(11, 'gaus')], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (5, 4, 10, 0.9316892027854919), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5930780172348022), (11, 7, 10, -0.9499979019165039), (12, 5, 11, 1.0), (13, 11, 8, -0.1529272049665451), (14, 2, 9, 0.6350171566009521), (17, 3, 8, 0.14104226231575012)], 'NID': 2, 'LID': 18, '_id': 616, '_parents': [581]}, 'vision': {'w': 0, 'h': 0}}"
658,[526],20.188816267247642,"{'white_gazing': 0.12160224558112795, 'distance': 2.9844181199549893}","{'brain': {'nodes': [(11, 'gaus'), (12, 'bsgm')], 'links': [(0, 0, 9, -0.8184727430343628), (1, 0, 10, 0.3103002905845642), (2, 1, 10, 0.4416286051273346), (3, 2, 10, 0.9377269744873047), (5, 4, 10, 0.9316892027854919), (7, 5, 9, 0.4359135031700134), (8, 5, 10, -0.6043839454650879), (9, 6, 8, 0.24538211524486542), (10, 7, 8, -0.5930780172348022), (11, 7, 10, -0.9499979019165039), (12, 5, 11, 1.0), (13, 11, 8, -0.1529272049665451), (14, 2, 9, 0.6350171566009521), (15, 3, 12, 1.0), (16, 12, 8, 0.13110128045082092)], 'NID': 2, 'LID': 17, '_id': 658, '_parents': [526]}, 'vision': {'w': 0, 'h': 0}}"
